gene,log2FoldChange
AT2G35240,-0.807676459
AT3G53040,-0.792649934
AT3G60240,-0.746187366
AT1G02110,-0.948309079
AT3G56900,-1.018025656
AT5G04770,-0.947405764
AT1G64930,-1.299677475
AT2G28780,-1.016085074
AT1G71410,-0.770884961
AT1G64790,-0.770402126
AT5G12470,-0.751090117
AT2G20330,-0.857498073
AT2G36830,-0.616693661
AT4G21410,-0.856691171
AT3G20830,-0.899988625
AT1G73840,-0.787481078
AT1G66150,-0.748736388
AT2G47460,-0.814435744
AT5G15580,-0.942055441
AT5G58010,-0.874708794
AT2G47420,-0.852880717
AT1G74040,-1.008182942
AT4G09980,-0.871978476
AT1G14610,-0.736072653
AT3G02260,-0.735964615
AT4G00720,-0.736586039
AT2G01970,-0.743138546
AT5G43810,-0.869407622
AT3G60380,-0.964850329
AT1G11600,-1.281771885
AT3G03470,-0.949745195
AT4G07960,-0.812416338
AT1G53840,-0.734109531
AT5G21170,-0.749250041
AT5G08610,-1.000864916
AT4G13930,-0.68329821
AT1G80350,-0.865464052
AT4G15900,-0.787401334
AT5G27000,-0.961974864
AT4G21460,-0.999620072
AT3G04880,-0.864608537
AT5G03280,-0.731301027
AT1G29900,-0.845206981
AT5G67420,-0.740231069
AT5G02850,-0.951180394
AT1G70180,-0.788632087
AT5G43760,-0.603451169
AT4G10710,-0.73597352
AT5G12350,-0.842406437
AT1G01960,-0.754083973
AT4G38130,-0.800583498
AT2G48140,-0.602660913
AT1G20110,-0.664128115
AT3G55260,-0.956357285
AT1G77030,-0.956038999
AT3G17810,-0.602019636
AT3G54770,-0.882078821
AT5G24140,-0.677958537
AT5G13890,-0.955721539
AT1G67750,-0.947442975
AT5G28290,-1.140034832
AT1G77590,-0.617510132
AT2G37340,-0.736743766
AT1G70560,-0.955360197
AT3G13800,-0.990178876
AT4G02270,-0.796714116
AT5G52040,-0.777643651
AT3G14350,-0.729616496
AT4G27520,-0.672291005
AT5G44500,-0.932977148
AT3G61580,-0.729929651
AT3G13470,-0.832651766
AT4G38220,-0.729516185
AT1G67420,-0.983519943
AT5G07130,-0.610254436
AT2G36080,-0.773344044
AT4G00340,-0.762481308
AT4G21900,-0.914575276
