gene log2FoldChange
AT3G21730 3.9870585466965736
AT3G05860 3.9861877761356994
AT3G11180 3.946175353464551
AT2G02630 3.94029930209323
AT5G57380 3.938265087456319
AT4G15300 3.93761031882168
AT1G17300 3.9352954821959574
AT5G62490 3.92884607853907
AT4G24150 3.896664317818748
AT2G23110 3.887943251719782
AT1G65310 3.8730690128726915
AT4G09600 3.864039171947066
AT2G25810 3.8583004936818925
AT3G28315 3.854337695069197
AT1G16770 3.843513164050032
AT4G01630 3.843385872947461
AT2G02610 3.8396295053019402
AT5G03860 3.8360799196499653
AT2G03520 3.822767506635606
AT5G51060 3.822052714686176
AT5G46900 3.810802524531245
AT5G50770 3.805154611297179
AT2G23640 3.8015549002711504
AT2G34740 3.795845700182913
AT1G17010 3.7941228861158516
AT4G11310 3.7900878935338054
AT1G53130 3.789211659424654
AT1G62440 3.7887137651363876
AT2G31082 3.767701452269778
AT5G66260 3.7665911853421794
AT1G47395 3.753266113717495
AT5G12020 3.74159038946843
AT2G22710 3.741234690517579
AT4G37420 3.7402397254445097
AT1G03790 3.7371289845111355
AT2G33070 3.737115127306985
AT1G71250 3.7344553904749427
AT5G07330 3.71556310098903
AT1G13608 3.7112051458043678
AT1G48990 3.709279096914528
AT2G27380 3.703471531760089
AT1G13609 3.7034106828915134
AT2G33520 3.6991531550586814
AT1G66360 3.693224589872609
AT4G30290 3.680991422673819
AT3G02410 3.6730900927784305
AT4G03050 3.652456536526095
AT5G23220 3.6440796770081816
AT1G47400 3.642509741755834
AT1G23070 3.6372202543785384
AT3G45130 3.6299826465930325
AT5G55410 3.6218284833734207
AT1G64940 3.616473643563498
AT3G48280 3.608577133659646
AT1G18280 3.607898136718161
AT1G08430 3.6064134484573236
AT4G30280 3.5970117086572553
AT3G24650 3.5964594662434903
AT1G77100 3.589640615985673
AT3G03620 3.5685005389800466
AT5G66080 3.5658944962224486
AT2G19990 3.54319851482832
AT2G19320 3.533683550694014
AT5G65550 3.5273357227893363
AT5G60220 3.506418409161457
AT3G01570 3.5033165400351653
AT1G65330 3.5010203382132263
AT1G25422 3.4929686791045813
AT1G22600 3.4867419677677214
AT2G28690 3.4740863927260968
AT4G12520 3.4729227040211352
AT2G15010 3.470242211904954
AT3G01190 3.4606643198069373
AT2G18340 3.457510137714501
AT2G21820 3.441363710341555
AT1G60090 3.4342866958310085
AT5G50175 3.432354770528628
AT5G01300 3.423859854913903
AT1G56242 3.41071381703505
AT5G19720 3.4074952409142525
AT4G12510 3.402817150086698
AT5G62800 3.38627634478753
AT2G36770 3.379949643678251
AT3G21660 3.3679747487011165
AT4G15160 3.3637938177498925
AT4G21020 3.363094893510713
AT3G61940 3.3558861244181486
AT3G24540 3.3554040165809558
AT4G36880 3.348667514936972
AT4G02290 3.3419772333141116
AT5G48850 3.340579300485542
AT4G02330 3.3373987656067983
AT3G56980 3.330515404361873
AT5G43770 3.3285133425477187
AT5G51210 3.3246453044379445
AT1G14500 3.3233329489910397
AT4G27160 3.3219380455117618
AT5G60660 3.3116480903844727
AT3G04420 3.303104326643595
AT3G15280 3.2981986929840037
AT1G31750 3.2887796883227023
AT5G53190 3.2705565243835335
AT5G33395 3.264982855879486
AT2G21720 3.264168625851465
AT1G28640 3.261025254188357
AT3G15670 3.2603479153927144
AT1G20190 3.2555194275896118
AT5G37620 3.2521891902855677
AT2G30130 3.2519199416066376
AT5G06720 3.2466506844589187
AT2G47550 3.239260531960418
AT1G55440 3.2283979120036768
AT2G46740 3.222982409813943
AT4G36700 3.220200082418824
AT3G60280 3.2192849853259355
AT1G02700 3.2192229082590487
AT2G16005 3.2124372581323324
AT5G04120 3.203494078752259
AT1G56430 3.2027429667689233
AT5G09640 3.1989871147062408
AT4G26200 3.1919030328952935
AT4G31830 3.186506527597956
AT1G71380 3.1855774368834626
AT5G39580 3.1853466295671415
AT2G46950 3.1737987179735017
AT1G05660 3.1695670293801497
AT2G40170 3.1665888122743966
AT2G07070 3.1626764740687996
AT1G14960 3.1413067008738027
AT1G30730 3.1402899414125933
AT5G66780 3.1401173622680574
AT3G14380 3.1381539800725866
AT1G27040 3.133520763642875
AT5G54060 3.1246116938963455
AT3G59850 3.1189822026578664
AT5G52670 3.110373938730736
AT1G52690 3.1052816629153615
AT5G20670 3.100263175020468
AT3G20160 3.10006909777407
AT1G16730 3.0990281704434683
AT1G35140 3.0877699312020375
AT3G46280 3.084900101809327
AT5G24130 3.084349589249689
AT4G37430 3.0840195686441234
AT4G18920 3.0769858703950703
AT5G07190 3.076773075760962
AT2G03445 3.0708107049026205
