"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008320","MF","GO:0008320","protein transmembrane transporter activity","4/620","48/22005",0.0458018954718852,0.458018954718852,0.432764776764429,"SCY1/HCF106/SECE1/ALB3",4
"GO:0022884","MF","GO:0022884","macromolecule transmembrane transporter activity","4/620","48/22005",0.0458018954718852,0.458018954718852,0.432764776764429,"SCY1/HCF106/SECE1/ALB3",4
"GO:0140318","MF","GO:0140318","protein transporter activity","4/620","49/22005",0.0488064383248906,0.469866277773138,0.443958863961086,"SCY1/HCF106/SECE1/ALB3",4
"GO:0008889","MF","GO:0008889","glycerophosphodiester phosphodiesterase activity","2/620","13/22005",0.0503428154756934,0.469866277773138,0.443958863961086,"GDPDL2/GDPDL1",2
"GO:0015149","MF","GO:0015149","hexose transmembrane transporter activity","2/620","13/22005",0.0503428154756934,0.469866277773138,0.443958863961086,"HP59/AtSTP14",2
"GO:0015144","MF","GO:0015144","carbohydrate transmembrane transporter activity","6/620","95/22005",0.0518746807936304,0.473638389854886,0.447522989913013,"HP59/ATPPT2/AtSWEET11/AtSTP14/APE2/NA",6
"GO:0004525","MF","GO:0004525","ribonuclease III activity","2/620","14/22005",0.057662515644456,0.50454701188899,0.476727377148243,"NA/RTL1",2
"GO:0032296","MF","GO:0032296","double-stranded RNA-specific ribonuclease activity","2/620","14/22005",0.057662515644456,0.50454701188899,0.476727377148243,"NA/RTL1",2
"GO:0008047","MF","GO:0008047","enzyme activator activity","7/620","124/22005",0.0615237774519705,0.527346663874033,0.498269905464938,"ATHM1/Aty2/ATF1/ATF2/ATHM2/ATCCS/NTRC",7
"GO:0016722","MF","GO:0016722","oxidoreductase activity, oxidizing metal ions","2/620","15/22005",0.0653237453219725,0.537960255592715,0.508298286612665,"ATFRO6/ATFRO7",2
"GO:0050308","MF","GO:0050308","sugar-phosphatase activity","2/620","15/22005",0.0653237453219725,0.537960255592715,0.508298286612665,"cfbp1/NA",2
"GO:0016410","MF","GO:0016410","N-acyltransferase activity","5/620","78/22005",0.0691126432024517,0.547685097076032,0.517486921297404,"NA/NA/ATNSI/AtNAA70/NA",5
"GO:0042887","MF","GO:0042887","amide transmembrane transporter activity","5/620","78/22005",0.0691126432024517,0.547685097076032,0.517486921297404,"SCY1/HCF106/SECE1/ALB3/ATUPS2",5
"GO:0016811","MF","GO:0016811","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides","5/620","82/22005",0.0817388993077441,0.635746994615788,0.600693275614416,"ATHDA5/NA/ATHDA14/AMI1/AtLpxC2",5
"GO:0003725","MF","GO:0003725","double-stranded RNA binding","2/620","18/22005",0.0901123642310794,0.64903752076931,0.61325099080208,"NA/NA",2
"GO:0004089","MF","GO:0004089","carbonate dehydratase activity","2/620","18/22005",0.0901123642310794,0.64903752076931,0.61325099080208,"BETA/ATBCA1",2
