gene,log2FoldChange
AT1G63660,-1.49
AT4G34200,-1.49
AT5G41140,-1.49
AT5G48900,-1.49
AT3G44590,-1.49
AT4G23620,-1.49
AT1G12000,-1.49
AT1G69070,-1.49
AT4G31210,-1.49
AT4G15770,-1.49
AT4G25240,-1.49
AT2G34570,-1.49
AT2G36070,-1.49
AT1G02970,-1.49
AT3G02920,-1.48
AT5G60890,-1.48
AT4G37090,-1.48
AT4G36020,-1.48
AT1G27880,-1.48
AT5G17270,-1.48
AT2G37600,-1.48
AT5G59850,-1.48
AT5G40830,-1.48
AT3G46560,-1.48
AT5G07900,-1.48
AT2G04780,-1.48
AT4G03070,-1.48
AT4G31500,-1.48
AT5G53460,-1.47
AT5G43140,-1.47
AT1G29250,-1.47
AT4G02930,-1.47
AT5G47060,-1.47
AT3G63090,-1.47
AT5G59980,-1.47
AT1G78770,-1.47
AT4G29510,-1.47
AT4G01990,-1.47
AT2G36910,-1.47
AT1G13730,-1.47
AT4G36220,-1.47
AT4G18040,-1.47
AT1G15870,-1.46
AT3G48610,-1.46
AT5G14640,-1.46
AT2G29760,-1.46
AT5G56350,-1.46
AT3G20240,-1.46
AT1G77200,-1.46
AT1G26560,-1.46
AT2G23050,-1.46
AT2G36620,-1.46
AT5G08180,-1.46
AT1G74560,-1.46
AT3G19710,-1.46
AT5G37600,-1.46
AT5G14760,-1.45
AT3G55690,-1.45
AT3G03250,-1.45
AT1G31010,-1.45
AT2G28790,-1.45
AT2G22870,-1.45
AT3G07750,-1.45
AT4G24190,-1.45
AT1G75710,-1.45
AT1G77550,-1.45
AT3G18080,-1.45
AT4G37450,-1.45
AT4G26320,-1.45
AT1G69440,-1.45
AT1G49410,-1.45
AT1G18850,-1.45
AT2G23180,-1.44
AT1G16280,-1.44
AT1G29940,-1.44
AT5G64630,-1.44
AT2G40360,-1.44
AT3G08970,-1.44
AT4G34290,-1.44
AT3G07090,-1.44
AT5G51890,-1.44
AT2G25810,-1.44
AT1G56170,-1.44
AT3G19360,-1.44
AT2G46530,-1.44
AT3G25940,-1.44
AT5G08610,-1.44
AT1G80280,-1.44
AT1G09300,-1.43
AT1G04820,-1.43
AT4G39510,-1.43
AT5G19920,-1.43
AT1G63940,-1.43
AT2G34050,-1.43
AT2G31390,-1.43
AT5G13830,-1.43
AT1G31970,-1.43
AT2G18330,-1.43
AT5G63660,-1.43
AT3G22300,-1.43
AT1G67360,-1.42
AT1G70900,-1.42
AT4G39740,-1.42
AT4G30530,-1.42
AT1G32860,-1.42
AT1G74100,-1.42
AT1G63050,-1.42
AT3G55760,-1.42
AT3G22600,-1.41
AT1G08280,-1.41
AT4G13170,-1.41
AT3G21190,-1.41
AT4G23885,-1.41
AT3G07800,-1.41
AT3G06930,-1.41
AT5G14050,-1.41
AT4G30990,-1.41
AT1G09830,-1.41
AT2G43600,-1.41
AT5G42150,-1.41
AT4G10480,-1.41
AT3G23090,-1.41
AT2G37640,-1.41
AT3G50340,-1.40
AT3G25780,-1.40
AT2G45710,-1.40
AT5G63920,-1.40
AT2G13820,-1.40
AT2G44860,-1.40
AT4G30840,-1.40
AT3G61520,-1.40
AT1G48598,-1.40
AT5G59480,-1.40
AT2G21130,-1.40
AT1G61580,-1.40
AT3G27230,-1.40
AT2G19750,-1.40
AT1G72230,-1.40
AT4G39230,-1.39
AT5G66960,-1.39
AT2G38010,-1.39
AT4G32280,-1.39
AT5G50315,-1.39
AT4G11120,-1.39
AT5G38720,-1.39
AT1G73177,-1.39
AT4G14440,-1.39
AT1G31180,-1.39
AT4G21850,-1.39
AT3G10690,-1.38
AT1G51060,-1.38
AT3G07590,-1.38
AT5G04160,-1.38
AT5G45280,-1.38
AT3G29360,-1.38
AT5G61310,-1.38
AT4G00880,-1.38
AT1G21750,-1.38
AT5G50930,-1.37
AT2G15000,-1.37
AT5G41670,-1.37
AT1G06380,-1.37
AT2G45290,-1.37
AT1G68990,-1.37
AT5G22880,-1.37
AT1G53310,-1.37
AT2G16060,-1.37
AT4G02290,-1.37
AT1G15480,-1.37
AT3G10270,-1.37
AT3G51800,-1.37
AT3G27280,-1.36
AT1G24310,-1.36
AT5G07340,-1.36
AT5G52380,-1.36
AT3G15350,-1.36
AT5G25090,-1.36
AT3G18420,-1.36
AT1G68570,-1.36
AT1G28570,-1.36
AT3G58520,-1.36
AT2G46420,-1.36
AT1G04900,-1.36
AT4G22010,-1.36
AT2G37470,-1.35
AT4G02750,-1.35
AT1G31070,-1.35
AT1G52160,-1.35
AT5G43960,-1.35
AT1G50400,-1.35
AT5G15050,-1.35
AT3G52180,-1.35
AT5G20700,-1.35
AT4G10040,-1.35
AT3G55280,-1.35
AT1G67750,-1.35
AT5G13400,-1.35
AT3G17840,-1.35
AT3G16180,-1.35
AT4G38950,-1.34
AT2G20450,-1.34
AT3G49710,-1.34
AT1G48460,-1.34
AT1G31860,-1.34
AT3G13674,-1.34
AT3G18524,-1.34
AT4G20980,-1.34
AT3G11710,-1.34
AT2G15620,-1.33
AT4G34555,-1.33
AT1G10780,-1.33
AT1G33170,-1.33
AT5G60490,-1.33
AT5G40150,-1.33
AT2G15690,-1.33
AT2G47010,-1.32
AT2G40700,-1.32
AT3G06700,-1.32
AT2G47840,-1.32
AT1G47210,-1.32
AT3G15540,-1.32
AT4G08390,-1.32
AT1G12370,-1.32
AT5G45400,-1.32
AT3G49890,-1.31
AT2G37380,-1.31
AT1G05210,-1.31
AT3G11250,-1.31
AT4G36180,-1.31
AT3G60440,-1.31
AT1G62150,-1.31
AT1G77750,-1.31
AT5G64670,-1.31
AT3G29250,-1.31
AT3G62270,-1.31
AT5G48470,-1.31
AT1G15250,-1.31
AT3G23940,-1.31
AT1G68760,-1.31
AT3G25400,-1.30
AT1G10230,-1.30
AT5G27620,-1.30
AT1G66070,-1.30
AT5G55620,-1.30
AT4G25890,-1.30
AT5G60960,-1.30
AT1G20410,-1.30
AT5G26780,-1.30
AT1G61870,-1.30
AT1G70230,-1.30
AT1G69210,-1.30
AT2G40660,-1.30
AT4G30340,-1.30
AT5G27395,-1.30
AT2G32380,-1.30
AT2G40430,-1.30
AT3G17170,-1.30
AT3G15140,-1.30
AT5G61020,-1.30
AT4G33220,-1.29
AT4G17695,-1.29
AT5G18620,-1.29
AT2G21220,-1.29
AT5G39960,-1.29
AT2G20940,-1.29
AT4G30660,-1.29
AT3G03920,-1.29
AT1G42440,-1.29
AT5G55180,-1.29
AT5G49160,-1.29
AT5G07460,-1.29
AT1G05950,-1.29
AT1G18800,-1.28
AT5G65900,-1.28
AT5G52850,-1.28
AT1G80750,-1.28
AT5G57120,-1.28
AT1G18590,-1.28
AT1G64450,-1.28
AT3G09890,-1.28
AT1G68430,-1.28
AT5G60990,-1.28
AT5G07110,-1.27
AT3G59650,-1.27
AT3G03220,-1.27
AT4G34050,-1.27
AT2G14660,-1.27
AT4G30290,-1.27
AT1G24807,-1.27
AT1G56340,-1.27
AT3G02530,-1.27
AT1G55500,-1.27
AT4G38010,-1.27
AT2G47630,-1.27
AT2G31660,-1.26
AT3G60360,-1.26
AT1G47870,-1.26
AT1G48610,-1.26
AT5G14600,-1.26
AT4G37660,-1.26
AT4G25320,-1.26
AT1G56050,-1.26
AT5G15980,-1.26
AT1G24100,-1.26
AT1G06550,-1.26
AT4G18030,-1.26
AT1G16350,-1.26
AT5G45700,-1.25
AT3G07010,-1.25
AT2G40840,-1.25
AT5G61570,-1.25
AT3G51160,-1.25
AT1G63000,-1.25
AT1G62790,-1.24
AT3G02870,-1.24
AT5G14040,-1.24
AT2G35750,-1.24
AT3G14370,-1.24
AT1G60590,-1.24
AT2G16780,-1.24
AT5G10010,-1.24
AT3G02230,-1.24
AT3G53560,-1.24
AT3G12670,-1.24
AT5G26680,-1.24
AT5G03300,-1.24
AT3G57630,-1.24
AT1G26880,-1.24
AT1G04870,-1.24
AT3G05130,-1.24
AT3G16050,-1.24
AT3G04650,-1.24
AT1G67620,-1.24
AT5G02270,-1.24
AT5G14750,-1.24
AT2G42710,-1.24
AT4G38860,-1.24
AT3G17390,-1.24
AT1G66080,-1.24
AT2G22250,-1.23
AT4G34910,-1.23
AT1G64490,-1.23
AT2G35190,-1.23
AT3G45650,-1.23
AT5G41010,-1.23
AT3G02910,-1.23
AT5G67070,-1.23
AT2G37250,-1.23
AT3G06320,-1.23
AT3G18760,-1.23
AT4G31700,-1.23
AT3G47370,-1.23
AT1G59990,-1.23
AT4G10620,-1.23
AT5G63980,-1.23
AT1G34380,-1.22
AT2G20515,-1.22
AT5G23250,-1.22
AT5G10170,-1.22
AT3G50070,-1.22
AT1G33040,-1.22
AT1G03630,-1.22
AT3G20260,-1.22
AT5G54860,-1.22
AT4G38740,-1.22
AT1G31817,-1.22
AT1G62740,-1.22
AT5G50810,-1.22
AT3G10090,-1.22
AT1G04730,-1.21
AT3G49220,-1.21
AT2G32060,-1.21
AT5G10920,-1.21
AT1G60770,-1.21
AT2G04530,-1.21
AT3G17120,-1.21
AT2G21440,-1.21
AT2G39795,-1.21
AT1G09310,-1.21
AT2G35040,-1.21
AT5G47600,-1.20
AT3G21240,-1.20
AT3G24080,-1.20
AT2G37310,-1.20
AT4G32605,-1.20
AT4G27585,-1.20
AT1G08410,-1.20
AT1G18480,-1.20
AT3G56330,-1.20
AT4G38660,-1.20
AT2G20610,-1.20
AT5G15750,-1.20
AT4G02070,-1.20
AT5G23830,-1.20
AT5G61220,-1.20
AT2G41650,-1.20
AT1G27030,-1.19
AT5G40850,-1.19
AT1G69030,-1.19
AT4G22770,-1.19
AT3G54770,-1.19
AT1G26340,-1.19
AT4G11160,-1.19
AT3G17970,-1.19
AT3G53890,-1.19
AT3G22890,-1.19
AT3G01120,-1.19
AT3G03780,-1.19
AT5G45420,-1.19
AT1G08220,-1.19
AT1G71100,-1.19
AT1G23180,-1.18
AT5G54160,-1.18
AT1G18540,-1.18
AT4G30930,-1.18
AT1G04130,-1.18
AT1G50010,-1.18
AT5G63100,-1.18
AT3G20110,-1.18
AT3G14220,-1.18
AT1G80530,-1.18
AT5G48030,-1.18
AT3G08950,-1.18
AT2G30060,-1.18
AT4G30150,-1.18
AT1G01630,-1.18
AT2G25270,-1.18
AT1G20370,-1.17
AT1G77720,-1.17
AT4G35260,-1.17
AT1G03360,-1.17
AT5G02610,-1.17
AT3G21300,-1.17
AT1G54030,-1.17
AT3G09350,-1.17
AT5G16190,-1.17
AT1G28600,-1.17
AT3G53230,-1.17
AT5G61170,-1.17
AT3G21110,-1.17
AT5G07000,-1.17
AT3G60660,-1.17
AT1G27390,-1.17
AT4G38150,-1.17
AT4G23690,-1.17
AT5G55070,-1.17
AT4G16390,-1.17
AT5G10240,-1.17
AT2G25355,-1.16
AT4G23800,-1.16
AT1G76270,-1.16
AT5G67200,-1.16
AT5G36890,-1.16
AT1G28530,-1.16
AT1G31230,-1.16
AT5G60840,-1.16
AT3G14730,-1.16
AT5G25450,-1.16
AT2G26440,-1.16
AT5G60040,-1.16
AT3G04840,-1.16
AT5G16750,-1.16
AT3G21230,-1.16
AT1G69250,-1.16
AT4G04790,-1.16
AT3G07110,-1.16
AT2G01890,-1.16
AT4G20440,-1.16
AT4G17430,-1.16
AT3G13570,-1.16
AT4G15830,-1.16
AT2G45860,-1.16
AT4G32460,-1.15
AT5G01040,-1.15
AT5G08270,-1.15
AT4G25200,-1.15
AT3G09700,-1.15
AT5G56950,-1.15
AT5G59180,-1.15
AT2G27970,-1.15
AT4G16700,-1.15
AT5G02870,-1.15
AT4G15850,-1.15
AT5G16040,-1.15
AT2G43130,-1.15
AT5G61130,-1.15
AT5G03630,-1.14
AT5G15550,-1.14
AT2G37890,-1.14
AT5G12050,-1.14
AT2G44300,-1.14
AT1G50920,-1.14
AT2G15820,-1.14
AT3G18630,-1.14
AT3G53190,-1.14
AT5G24840,-1.14
AT2G28000,-1.14
AT2G18950,-1.14
AT2G23350,-1.14
AT5G22320,-1.14
AT5G23310,-1.14
