From	To	Species	Gene Name
260462_at	AT1G10970	Arabidopsis thaliana	zinc transporter(ZIP4)
266344_at	AT2G01580	Arabidopsis thaliana	transmembrane protein(AT2G01580)
248837_at	AT5G47260	Arabidopsis thaliana	putative disease resistance protein(AT5G47260)
251406_at	AT3G60260	Arabidopsis thaliana	ELMO/CED-12 family protein(AT3G60260)
249825_at	AT5G23390	Arabidopsis thaliana	polygalacturonase inhibitor (DUF639)(AT5G23390)
266189_at	AT2G39020	Arabidopsis thaliana	Acyl-CoA N-acyltransferases (NAT) superfamily protein(AT2G39020)
262835_at	AT1G14660	Arabidopsis thaliana	Na+/H+ exchanger 8(NHX8)
257856_at	AT3G12930	Arabidopsis thaliana	Lojap-related protein(AT3G12930)
255625_at	AT4G01120	Arabidopsis thaliana	G-box binding factor 2(GBF2)
246464_at	AT5G16980	Arabidopsis thaliana	Zinc-binding dehydrogenase family protein(AT5G16980)
261125_at	AT1G04990	Arabidopsis thaliana	Zinc finger C-x8-C-x5-C-x3-H type family protein(AT1G04990)
265681_at	AT2G24370	Arabidopsis thaliana	kinase with adenine nucleotide alpha hydrolases-like domain-containing protein(AT2G24370)
260604_at	AT1G55840	Arabidopsis thaliana	Sec14p-like phosphatidylinositol transfer family protein(AT1G55840)
253974_at	AT4G26540	Arabidopsis thaliana	Leucine-rich repeat receptor-like protein kinase family protein(AT4G26540)
256146_at	AT1G48760	Arabidopsis thaliana	delta-adaptin(delta-ADR)
253276_at	AT4G34050	Arabidopsis thaliana	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(CCoAOMT1)
258519_at	AT3G06760	Arabidopsis thaliana	Drought-responsive family protein(AT3G06760)
257495_at	AT1G07960	Arabidopsis thaliana	PDI-like 5-1(PDIL5-1)
263811_at	AT2G04350	Arabidopsis thaliana	AMP-dependent synthetase and ligase family protein(LACS8)
256301_at	AT1G69510	Arabidopsis thaliana	cAMP-regulated phosphoprotein 19-related protein(AT1G69510)
248297_at	AT5G53100	Arabidopsis thaliana	NAD(P)-binding Rossmann-fold superfamily protein(AT5G53100)
264332_at	AT1G61920	Arabidopsis thaliana	transmembrane protein(AT1G61920)
246115_at	AT5G20300	Arabidopsis thaliana	Avirulence induced gene (AIG1) family protein(Toc90)
254637_at	AT4G18720	Arabidopsis thaliana	Transcription factor IIS protein(AT4G18720)
260798_at	AT1G78280	Arabidopsis thaliana	transferases, transferring glycosyl groups(AT1G78280)
260450_at	AT1G72390	Arabidopsis thaliana	nuclear receptor coactivator(AT1G72390)
255495_at	AT4G02720	Arabidopsis thaliana	Ras-induced vulval development antagonist protein(AT4G02720)
257483_at	AT1G49620	Arabidopsis thaliana	Cyclin-dependent kinase inhibitor family protein(ICK5)
265668_at	AT2G32020	Arabidopsis thaliana	Acyl-CoA N-acyltransferases (NAT) superfamily protein(AT2G32020)
248825_at	AT5G47030	Arabidopsis thaliana	ATPase, F1 complex, delta/epsilon subunit(AT5G47030)
258868_at	AT3G03110	Arabidopsis thaliana	exportin 1B(XPO1B)
257146_at	AT3G27260	Arabidopsis thaliana	global transcription factor group E8(GTE8)
252276_at	AT3G49490	Arabidopsis thaliana	hypothetical protein(AT3G49490)
247440_at	AT5G62680	Arabidopsis thaliana	Major facilitator superfamily protein(GTR2)
255301_at	AT4G04800	Arabidopsis thaliana	methionine sulfoxide reductase B3(MSRB3)
261113_at	AT1G75400	Arabidopsis thaliana	RING/U-box superfamily protein(AT1G75400)
254974_at	AT4G10490	Arabidopsis thaliana	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT4G10490)
247115_at	AT5G65930	Arabidopsis thaliana	kinesin-like calmodulin-binding protein (ZWICHEL)(ZWI)
266332_at	AT2G32415	Arabidopsis thaliana	Polynucleotidyl transferase, ribonuclease H fold protein with HRDC domain-containing protein(AT2G32415)
254301_at	AT4G22790	Arabidopsis thaliana	MATE efflux family protein(AT4G22790)
250755_at	AT5G05750	Arabidopsis thaliana	DNAJ heat shock N-terminal domain-containing protein(AT5G05750)
265108_s_at	AT1G62620	Arabidopsis thaliana	Flavin-binding monooxygenase family protein(AT1G62620)
251276_at	AT3G61740	Arabidopsis thaliana	SET domain protein 14(SDG14)
253649_at	AT4G29790	Arabidopsis thaliana	serine/arginine repetitive matrix protein(AT4G29790)
262113_at	AT1G02820	Arabidopsis thaliana	Late embryogenesis abundant 3 (LEA3) family protein(LEA3)
264344_at	AT1G11910	Arabidopsis thaliana	aspartic proteinase A1(APA1)
267189_at	AT2G44180	Arabidopsis thaliana	methionine aminopeptidase 2A(MAP2A)
251418_at	AT3G60440	Arabidopsis thaliana	Phosphoglycerate mutase family protein(AT3G60440)
258520_at	AT3G06710	Arabidopsis thaliana	E3 ubiquitin ligase(AT3G06710)
257868_at	AT3G25070	Arabidopsis thaliana	RPM1 interacting protein 4(RIN4)
266190_at	AT2G38840	Arabidopsis thaliana	Guanylate-binding family protein(AT2G38840)
259856_at	AT1G68440	Arabidopsis thaliana	transmembrane protein(AT1G68440)
256158_at	AT1G13590	Arabidopsis thaliana	phytosulfokine 1 precursor(PSK1)
255637_at	AT4G00750	Arabidopsis thaliana	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT4G00750)
246452_at	AT5G16840	Arabidopsis thaliana	binding partner of acd11 1(BPA1)
267093_at	AT2G38170	Arabidopsis thaliana	cation exchanger 1(CAX1)
245227_s_at	AT1G08410	Arabidopsis thaliana	P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT1G08410)
254975_at	AT4G10500	Arabidopsis thaliana	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT4G10500)
252553_at	AT3G45910	Arabidopsis thaliana	hypothetical protein(AT3G45910)
265907_at	AT2G25650	Arabidopsis thaliana	DNA-binding storekeeper protein-related transcriptional regulator(AT2G25650)
249142_at	AT5G43230	Arabidopsis thaliana	EEIG1/EHBP1 protein amino-terminal domain protein(AT5G43230)
260219_at	AT1G74630	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G74630)
264536_at	AT1G55640	Arabidopsis thaliana	prenylated RAB acceptor 1.G1(PRA1.G1)
262114_at	AT1G02860	Arabidopsis thaliana	SPX (SYG1/Pho81/XPR1) domain-containing protein(NLA)
266717_at	AT2G46735	Arabidopsis thaliana	death domain associated protein(AT2G46735)
245066_at	AT2G39840	Arabidopsis thaliana	type one serine/threonine protein phosphatase 4(TOPP4)
264777_at	AT1G08630	Arabidopsis thaliana	threonine aldolase 1(THA1)
246392_at	AT1G58120	Arabidopsis thaliana	hypothetical protein(AT1G58120)
250131_at	AT5G16550	Arabidopsis thaliana	voltage-dependent L-type calcium channel subunit(AT5G16550)
250372_at	AT5G11460	Arabidopsis thaliana	hypothetical protein (DUF581)(AT5G11460)
258031_s_at	AT3G27480	Arabidopsis thaliana	Cysteine/Histidine-rich C1 domain family protein(AT3G27480)
248298_at	AT5G53110	Arabidopsis thaliana	RING/U-box superfamily protein(AT5G53110)
266958_at	AT2G34630	Arabidopsis thaliana	geranyl diphosphate synthase 1(GPS1)
253912_at	AT4G27340	Arabidopsis thaliana	Met-10+ like family protein(AT4G27340)
253637_at	AT4G30390	Arabidopsis thaliana	UDP-arabinopyranose mutase(AT4G30390)
264823_at	AT1G03445	Arabidopsis thaliana	Serine/threonine protein phosphatase family protein(BSU1)
264548_at	AT1G55680	Arabidopsis thaliana	Transducin/WD40 repeat-like superfamily protein(AT1G55680)
251215_at	AT3G62510	Arabidopsis thaliana	disulfide isomerase-like protein(AT3G62510)
248286_at	AT5G52870	Arabidopsis thaliana	membrane-associated kinase regulator(MAKR5)
262126_at	AT1G59620	Arabidopsis thaliana	Disease resistance protein (CC-NBS-LRR class) family(CW9)
245054_at	AT2G26460	Arabidopsis thaliana	RED family protein(SMU2)
259770_s_at	AT5G05590	Arabidopsis thaliana	phosphoribosylanthranilate isomerase 2(PAI2)
247247_at	AT5G64650	Arabidopsis thaliana	Ribosomal protein L17 family protein(AT5G64650)
250360_at	AT5G11360	Arabidopsis thaliana	Interleukin-1 receptor-associated kinase 4 protein(AT5G11360)
262630_at	AT1G06520	Arabidopsis thaliana	glycerol-3-phosphate acyltransferase 1(GPAT1)
263693_at	AT1G31200	Arabidopsis thaliana	phloem protein 2-A9(PP2-A9)
262355_at	AT1G72820	Arabidopsis thaliana	Mitochondrial substrate carrier family protein(AT1G72820)
261798_at	AT1G30460	Arabidopsis thaliana	cleavage and polyadenylation specificity factor 30(CPSF30)
253408_at	AT4G32950	Arabidopsis thaliana	Protein phosphatase 2C family protein(AT4G32950)
250658_at	AT5G07040	Arabidopsis thaliana	RING/U-box superfamily protein(AT5G07040)
249416_at	AT5G39570	Arabidopsis thaliana	transmembrane protein(AT5G39570)
251743_at	AT3G55890	Arabidopsis thaliana	Yippee family putative zinc-binding protein(AT3G55890)
258387_at	AT3G15550	Arabidopsis thaliana	trichohyalin(AT3G15550)
260461_at	AT1G10980	Arabidopsis thaliana	Lung seven transmembrane receptor family protein(AT1G10980)
262883_at	AT1G64780	Arabidopsis thaliana	ammonium transporter 1;2(AMT1;2)
260448_at	AT1G72410	Arabidopsis thaliana	COP1-interacting protein-like protein(AT1G72410)
253936_at	AT4G26880	Arabidopsis thaliana	Stigma-specific Stig1 family protein(AT4G26880)
264524_at	AT1G10070	Arabidopsis thaliana	branched-chain amino acid transaminase 2(BCAT-2)
261499_at	AT1G28430	Arabidopsis thaliana	cytochrome P450, family 705, subfamily A, polypeptide 24(CYP705A24)
264790_at	AT2G17820	Arabidopsis thaliana	histidine kinase 1(HK1)
258363_at	AT3G14300	Arabidopsis thaliana	pectinesterase family protein(ATPMEPCRC)
258088_at	AT3G14580	Arabidopsis thaliana	Pentatricopeptide repeat (PPR) superfamily protein(AT3G14580)
249404_at	AT5G40160	Arabidopsis thaliana	Ankyrin repeat family protein(EMB506)
249129_at	AT5G43080	Arabidopsis thaliana	Cyclin A3;1(CYCA3;1)
249645_at	AT5G36910	Arabidopsis thaliana	thionin 2.2(THI2.2)
257350_x_at	AT2G19045	Arabidopsis thaliana	RALF-like 13(RALFL13)
265404_at	AT2G16730	Arabidopsis thaliana	glycosyl hydrolase family 35 protein(AT2G16730)
262895_at	AT1G59800	Arabidopsis thaliana	Cullin family protein(AT1G59800)
256182_at	AT1G51740	Arabidopsis thaliana	syntaxin of plants 81(SYP81)
253900_at	AT4G27130	Arabidopsis thaliana	Translation initiation factor SUI1 family protein(AT4G27130)
253625_at	AT4G30600	Arabidopsis thaliana	signal recognition particle receptor alpha subunit family protein(AT4G30600)
259243_at	AT3G07565	Arabidopsis thaliana	histone H2A deubiquitinase (DUF3755)(AT3G07565)
255806_at	AT4G10260	Arabidopsis thaliana	pfkB-like carbohydrate kinase family protein(AT4G10260)
255831_at	AT2G33350	Arabidopsis thaliana	CCT motif family protein(AT2G33350)
267081_at	AT2G41210	Arabidopsis thaliana	phosphatidylinositol- 4-phosphate 5-kinase 5(PIP5K5)
250143_at	AT5G14670	Arabidopsis thaliana	ADP-ribosylation factor A1B(ARFA1B)
249130_at	AT5G43100	Arabidopsis thaliana	Eukaryotic aspartyl protease family protein(AT5G43100)
250875_at	AT5G04020	Arabidopsis thaliana	calmodulin binding protein(AT5G04020)
266730_at	AT2G03110	Arabidopsis thaliana	putative RNA-binding protein(AT2G03110)
262343_at	AT1G64040	Arabidopsis thaliana	type one serine/threonine protein phosphatase 3(TOPP3)
266729_at	AT2G03130	Arabidopsis thaliana	Ribosomal protein L12/ ATP-dependent Clp protease adaptor protein ClpS family protein(AT2G03130)
255602_at	AT4G01026	Arabidopsis thaliana	PYR1-like 7(PYL7)
250646_at	AT5G06720	Arabidopsis thaliana	peroxidase 2(PA2)
251731_at	AT3G56350	Arabidopsis thaliana	Iron/manganese superoxide dismutase family protein(AT3G56350)
246380_at	AT1G57750	Arabidopsis thaliana	cytochrome P450, family 96, subfamily A, polypeptide 15(CYP96A15)
264789_at	AT2G17870	Arabidopsis thaliana	cold shock domain protein 3(CSP3)
252577_at	AT3G45460	Arabidopsis thaliana	IBR domain containing protein(AT3G45460)
247006_at	AT5G67490	Arabidopsis thaliana	succinate dehydrogenase assembly factor(AT5G67490)
258399_at	AT3G15540	Arabidopsis thaliana	indole-3-acetic acid inducible 19(IAA19)
262858_at	AT1G14940	Arabidopsis thaliana	Polyketide cyclase/dehydrase and lipid transport superfamily protein(AT1G14940)
264835_at	AT1G03550	Arabidopsis thaliana	Secretory carrier membrane protein (SCAMP) family protein(SCAMP4)
259218_at	AT3G03580	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(AT3G03580)
264753_at	AT1G61490	Arabidopsis thaliana	S-locus lectin protein kinase family protein(AT1G61490)
251502_at	AT3G59130	Arabidopsis thaliana	Cysteine/Histidine-rich C1 domain family protein(AT3G59130)
251227_at	AT3G62700	Arabidopsis thaliana	multidrug resistance-associated protein 10(ABCC14)
248274_at	AT5G53510	Arabidopsis thaliana	oligopeptide transporter 9(OPT9)
262629_at	AT1G06460	Arabidopsis thaliana	alpha-crystallin domain 32.1(ACD32.1)
249441_at	AT5G39730	Arabidopsis thaliana	AIG2-like (avirulence induced gene) family protein(AT5G39730)
249166_at	AT5G42840	Arabidopsis thaliana	Cysteine/Histidine-rich C1 domain family protein(AT5G42840)
252541_at	AT3G45750	Arabidopsis thaliana	Nucleotidyltransferase family protein(AT3G45750)
249670_at	AT5G35890	Arabidopsis thaliana	Beta-galactosidase related protein(AT5G35890)
260220_at	AT1G74650	Arabidopsis thaliana	myb domain protein 31(MYB31)
252770_at	AT3G42860	Arabidopsis thaliana	zinc knuckle (CCHC-type) family protein(AT3G42860)
262380_at	AT1G72810	Arabidopsis thaliana	Pyridoxal-5'-phosphate-dependent enzyme family protein(AT1G72810)
247235_at	AT5G64580	Arabidopsis thaliana	AAA-type ATPase family protein(EMB3144)
253613_at	AT4G30320	Arabidopsis thaliana	CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein(AT4G30320)
264847_at	AT2G17380	Arabidopsis thaliana	associated protein 19(AP19)
248262_at	AT5G53340	Arabidopsis thaliana	Galactosyltransferase family protein(AT5G53340)
250863_at	AT5G04750	Arabidopsis thaliana	F1F0-ATPase inhibitor protein(AT5G04750)
252769_at	AT3G42850	Arabidopsis thaliana	Mevalonate/galactokinase family protein(AT3G42850)
265416_at	AT2G37120	Arabidopsis thaliana	S1FA-like DNA-binding protein(AT2G37120)
262666_at	AT1G14080	Arabidopsis thaliana	fucosyltransferase 6(FUT6)
250106_at	AT5G16640	Arabidopsis thaliana	Pentatricopeptide repeat (PPR) superfamily protein(AT5G16640)
245030_at	AT2G26620	Arabidopsis thaliana	Pectin lyase-like superfamily protein(AT2G26620)
250588_at	AT5G07660	Arabidopsis thaliana	structural maintenance of chromosomes 6A(SMC6A)
262331_at	AT1G64050	Arabidopsis thaliana	hypothetical protein(AT1G64050)
253948_at	AT4G26940	Arabidopsis thaliana	Galactosyltransferase family protein(AT4G26940)
248789_at	AT5G47440	Arabidopsis thaliana	auxin canalization protein (DUF828)(AT5G47440)
266742_at	AT2G03050	Arabidopsis thaliana	Mitochondrial transcription termination factor family protein(EMB93)
251252_at	AT3G62230	Arabidopsis thaliana	F-box family protein(DAF1)
260424_at	AT1G72460	Arabidopsis thaliana	Leucine-rich repeat protein kinase family protein(AT1G72460)
253707_at	AT4G29200	Arabidopsis thaliana	Beta-galactosidase related protein(AT4G29200)
246367_at	AT1G51880	Arabidopsis thaliana	root hair specific 6(RHS6)
247272_at	AT5G64300	Arabidopsis thaliana	GTP cyclohydrolase II(GCH)
247031_at	AT5G67230	Arabidopsis thaliana	Nucleotide-diphospho-sugar transferases superfamily protein(IRX14-L)
249117_at	AT5G43840	Arabidopsis thaliana	heat shock transcription factor A6A(HSFA6A)
247211_at	AT5G64880	Arabidopsis thaliana	transmembrane protein(AT5G64880)
260244_at	AT1G74320	Arabidopsis thaliana	Protein kinase superfamily protein(AT1G74320)
262605_at	AT1G15170	Arabidopsis thaliana	MATE efflux family protein(AT1G15170)
251526_at	AT3G58640	Arabidopsis thaliana	Mitogen activated protein kinase kinase kinase-like protein(AT3G58640)
253421_at	AT4G32340	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(AT4G32340)
266754_at	AT2G46980	Arabidopsis thaliana	asynaptic protein(ASY3)
262617_at	AT1G06590	Arabidopsis thaliana	anaphase-promoting complex subunit(AT1G06590)
262392_at	AT1G49520	Arabidopsis thaliana	SWIB complex BAF60b domain-containing protein(AT1G49520)
250671_at	AT5G06950	Arabidopsis thaliana	bZIP transcription factor family protein(AHBP-1B)
250396_at	AT5G10970	Arabidopsis thaliana	C2H2 and C2HC zinc fingers superfamily protein(AT5G10970)
251706_at	AT3G56620	Arabidopsis thaliana	nodulin MtN21 /EamA-like transporter family protein(UMAMIT10)
255843_at	AT2G33540	Arabidopsis thaliana	C-terminal domain phosphatase-like 3(CPL3)
254938_at	AT4G10770	Arabidopsis thaliana	oligopeptide transporter 7(OPT7)
263522_at	AT2G24950	Arabidopsis thaliana	transmembrane protein, putative (DUF239)(AT2G24950)
258171_at	AT3G21610	Arabidopsis thaliana	Acid phosphatase/vanadium-dependent haloperoxidase-related protein(AT3G21610)
261100_at	AT1G63020	Arabidopsis thaliana	nuclear RNA polymerase D1A(NRPD1A)
249453_at	AT5G39510	Arabidopsis thaliana	Vesicle transport v-SNARE family protein(SGR4)
249178_at	AT5G42890	Arabidopsis thaliana	sterol carrier protein 2(SCP2)
249105_at	AT5G43640	Arabidopsis thaliana	Ribosomal protein S19 family protein(AT5G43640)
258580_at	AT3G04170	Arabidopsis thaliana	RmlC-like cupins superfamily protein(AT3G04170)
260497_at	AT2G41840	Arabidopsis thaliana	Ribosomal protein S5 family protein(AT2G41840)
249264_s_at	AT5G41740	Arabidopsis thaliana	Disease resistance protein (TIR-NBS-LRR class) family(AT5G41740)
253601_at	AT4G30900	Arabidopsis thaliana	DNAse I-like superfamily protein(AT4G30900)
264512_at	AT1G09575	Arabidopsis thaliana	calcium uniporter-like protein (DUF607)(AT1G09575)
264561_at	AT1G55810	Arabidopsis thaliana	uridine kinase-like 3(UKL3)
250851_at	AT5G04420	Arabidopsis thaliana	Galactose oxidase/kelch repeat superfamily protein(AT5G04420)
250576_at	AT5G08250	Arabidopsis thaliana	Cytochrome P450 superfamily protein(AT5G08250)
246093_at	AT5G20550	Arabidopsis thaliana	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT5G20550)
266934_at	AT2G18900	Arabidopsis thaliana	Transducin/WD40 repeat-like superfamily protein(AT2G18900)
259026_at	AT3G09240	Arabidopsis thaliana	kinase with tetratricopeptide repeat domain-containing protein(BSK9)
248790_at	AT5G47450	Arabidopsis thaliana	tonoplast intrinsic protein 2;3(TIP2;3)
261487_at	AT1G14340	Arabidopsis thaliana	RNA-binding (RRM/RBD/RNP motifs) family protein(AT1G14340)
253961_at	AT4G26440	Arabidopsis thaliana	WRKY DNA-binding protein 34(WRKY34)
251514_at	AT3G59260	Arabidopsis thaliana	pirin(AT3G59260)
251239_at	AT3G62440	Arabidopsis thaliana	F-box/RNI-like superfamily protein(SAF1)
266946_at	AT2G18890	Arabidopsis thaliana	Protein kinase superfamily protein(AT2G18890)
264765_at	AT1G61430	Arabidopsis thaliana	S-locus lectin protein kinase family protein(AT1G61430)
247223_at	AT5G65070	Arabidopsis thaliana	K-box region and MADS-box transcription factor family protein(MAF4)
247284_at	AT5G64410	Arabidopsis thaliana	oligopeptide transporter 4(OPT4)
250384_at	AT5G11500	Arabidopsis thaliana	coiled-coil protein(AT5G11500)
260232_at	AT1G74640	Arabidopsis thaliana	alpha/beta-Hydrolases superfamily protein(AT1G74640)
264859_at	AT1G24280	Arabidopsis thaliana	glucose-6-phosphate dehydrogenase 3(G6PD3)
262678_at	AT1G75810	Arabidopsis thaliana	transmembrane protein(AT1G75810)
250118_at	AT5G16460	Arabidopsis thaliana	Putative adipose-regulatory protein (Seipin)(AT5G16460)
267297_at	AT2G23780	Arabidopsis thaliana	RING/U-box superfamily protein(AT2G23780)
248250_at	AT5G53130	Arabidopsis thaliana	cyclic nucleotide gated channel 1(CNGC1)
247018_at	AT5G67000	Arabidopsis thaliana	Integrase-type DNA-binding superfamily protein(AT5G67000)
265703_at	AT2G03430	Arabidopsis thaliana	Ankyrin repeat family protein(AT2G03430)
265428_at	AT2G20720	Arabidopsis thaliana	Pentatricopeptide repeat (PPR) superfamily protein(AT2G20720)
254926_at	AT4G11280	Arabidopsis thaliana	1-aminocyclopropane-1-carboxylic acid (acc) synthase 6(ACS6)
249465_at	AT5G39720	Arabidopsis thaliana	avirulence induced protein 2 like protein(AIG2L)
252565_at	AT3G46000	Arabidopsis thaliana	actin depolymerizing factor 2(ADF2)
258183_at	AT3G21550	Arabidopsis thaliana	transmembrane protein, putative (DUF679 domain membrane protein 2)(DMP2)
267609_at	AT2G26780	Arabidopsis thaliana	ARM repeat superfamily protein(AT2G26780)
264573_at	AT1G05310	Arabidopsis thaliana	Pectin lyase-like superfamily protein(AT1G05310)
264500_at	AT1G09370	Arabidopsis thaliana	Plant invertase/pectin methylesterase inhibitor superfamily protein(AT1G09370)
251240_at	AT3G62450	Arabidopsis thaliana	DNA mismatch repair protein(AT3G62450)
259038_at	AT3G09210	Arabidopsis thaliana	plastid transcriptionally active 13(PTAC13)
261475_at	AT1G14550	Arabidopsis thaliana	Peroxidase superfamily protein(AT1G14550)
254999_at	AT4G09830	Arabidopsis thaliana	nuclear receptor family 2 group C protein(AT4G09830)
260436_at	AT1G68140	Arabidopsis thaliana	zinc finger/BTB domain protein, putative (DUF1644)(AT1G68140)
262871_at	AT1G65010	Arabidopsis thaliana	WEB family protein (DUF827)(AT1G65010)
254473_s_at	AT4G20520	Arabidopsis thaliana	RNA binding / RNA-directed DNA polymerase(AT4G20520)
259231_at	AT3G11410	Arabidopsis thaliana	protein phosphatase 2CA(PP2CA)
262138_at	AT1G52660	Arabidopsis thaliana	P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT1G52660)
245042_at	AT2G26540	Arabidopsis thaliana	uroporphyrinogen-III synthase family protein(HEMD)
258375_at	AT3G17470	Arabidopsis thaliana	Ca2+-activated RelA/spot-like protein(CRSH)
262939_s_at	AT1G16300	Arabidopsis thaliana	glyceraldehyde-3-phosphate dehydrogenase of plastid 2(GAPCP-2)
255855_at	AT1G66950	Arabidopsis thaliana	pleiotropic drug resistance 11(ABCG39)
251718_at	AT3G56100	Arabidopsis thaliana	meristematic receptor-like kinase(MRLK)
263534_at	AT2G24940	Arabidopsis thaliana	membrane-associated progesterone binding protein 2(MAPR2)
249657_at	AT5G37140	Arabidopsis thaliana	P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT5G37140)
264872_at	AT1G24260	Arabidopsis thaliana	K-box region and MADS-box transcription factor family protein(SEP3)
248237_at	AT5G53890	Arabidopsis thaliana	phytosylfokine-alpha receptor 2(PSKR2)
259280_at	AT3G01150	Arabidopsis thaliana	polypyrimidine tract-binding protein 1(PTB1)
262175_at	AT1G74880	Arabidopsis thaliana	NAD(P)H:plastoquinone dehydrogenase complex subunit O(NdhO)
265441_at	AT2G20870	Arabidopsis thaliana	cell wall protein precursor(AT2G20870)
249909_s_at	AT5G22770	Arabidopsis thaliana	alpha-adaptin(alpha-ADR)
248478_at	AT5G50870	Arabidopsis thaliana	ubiquitin-conjugating enzyme 27(UBC27)
266778_at	AT2G29090	Arabidopsis thaliana	cytochrome P450, family 707, subfamily A, polypeptide 2(CYP707A2)
263873_at	AT2G21860	Arabidopsis thaliana	violaxanthin de-epoxidase-like protein(AT2G21860)
255290_at	AT4G04640	Arabidopsis thaliana	ATPase, F1 complex, gamma subunit protein(ATPC1)
254914_at	AT4G11290	Arabidopsis thaliana	Peroxidase superfamily protein(AT4G11290)
263546_at	AT2G21550	Arabidopsis thaliana	Bifunctional dihydrofolate reductase/thymidylate synthase(AT2G21550)
258195_at	AT3G13890	Arabidopsis thaliana	myb domain protein 26(MYB26)
249608_at	AT5G37310	Arabidopsis thaliana	Endomembrane protein 70 protein family(AT5G37310)
263305_at	AT2G01930	Arabidopsis thaliana	basic pentacysteine1(BPC1)
251889_at	AT3G54080	Arabidopsis thaliana	Concanavalin A-like lectin family protein(AT3G54080)
247321_s_at	AT5G09350	Arabidopsis thaliana	phosphatidylinositol 4-OH kinase beta2(PI-4KBETA2)
254028_s_at	AT4G25850	Arabidopsis thaliana	OSBP(oxysterol binding protein)-related protein 4B(ORP4B)
248994_at	AT5G45250	Arabidopsis thaliana	Disease resistance protein (TIR-NBS-LRR class) family(RPS4)
246331_at	AT3G44820	Arabidopsis thaliana	Phototropic-responsive NPH3 family protein(AT3G44820)
246572_at	AT5G15010	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(AT5G15010)
251310_at	AT3G61150	Arabidopsis thaliana	homeodomain GLABROUS 1(HDG1)
253216_at	AT4G34960	Arabidopsis thaliana	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein(AT4G34960)
250311_at	AT5G12240	Arabidopsis thaliana	octanoyltransferase(AT5G12240)
257196_at	AT3G23790	Arabidopsis thaliana	AMP-dependent synthetase and ligase family protein(AAE16)
253457_at	AT4G32060	Arabidopsis thaliana	calcium-binding EF hand family protein(AT4G32060)
250552_at	AT5G07890	Arabidopsis thaliana	myosin heavy chain-like protein(AT5G07890)
259893_at	AT1G71390	Arabidopsis thaliana	receptor like protein 11(RLP11)
251563_at	AT3G57880	Arabidopsis thaliana	Calcium-dependent lipid-binding (CaLB domain) plant phosphoribosyltransferase family protein(AT3G57880)
260268_at	AT1G68490	Arabidopsis thaliana	translocase subunit seca(AT1G68490)
251890_at	AT3G54220	Arabidopsis thaliana	GRAS family transcription factor(SCR)
250180_at	AT5G14450	Arabidopsis thaliana	GDSL-like Lipase/Acylhydrolase superfamily protein(AT5G14450)
257184_at	AT3G13090	Arabidopsis thaliana	multidrug resistance-associated protein 8(ABCC6)
259279_at	AT3G01120	Arabidopsis thaliana	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein(MTO1)
259292_at	AT3G11560	Arabidopsis thaliana	LETM1-like protein(AT3G11560)
265092_at	AT1G03910	Arabidopsis thaliana	cactus-binding carboxy-terminal, cactin(AT1G03910)
248249_at	AT5G53140	Arabidopsis thaliana	Protein phosphatase 2C family protein(AT5G53140)
260281_at	AT1G80500	Arabidopsis thaliana	SNARE-like superfamily protein(AT1G80500)
267032_at	AT2G38490	Arabidopsis thaliana	CBL-interacting Serine/Threonine-kinase(CIPK22)
251877_at	AT3G54300	Arabidopsis thaliana	vesicle-associated membrane protein 727(VAMP727)
265453_at	AT2G46520	Arabidopsis thaliana	cellular apoptosis susceptibility protein, putative / importin-alpha re-exporter(AT2G46520)
265968_at	AT2G37410	Arabidopsis thaliana	translocase inner membrane subunit 17-2(TIM17-2)
255289_at	AT4G04690	Arabidopsis thaliana	F-box and associated interaction domains-containing protein(AT4G04690)
258314_at	AT3G16100	Arabidopsis thaliana	RAB GTPase homolog G3C(RABG3c)
249489_at	AT5G39090	Arabidopsis thaliana	HXXXD-type acyl-transferase family protein(AT5G39090)
246584_at	AT5G14730	Arabidopsis thaliana	hypothetical protein(AT5G14730)
253204_at	AT4G34460	Arabidopsis thaliana	GTP binding protein beta 1(AGB1)
257699_at	AT3G12780	Arabidopsis thaliana	phosphoglycerate kinase 1(PGK1)
260412_at	AT1G69830	Arabidopsis thaliana	alpha-amylase-like 3(AMY3)
254902_at	AT4G11550	Arabidopsis thaliana	Cysteine/Histidine-rich C1 domain family protein(AT4G11550)
