From	To	Species	Gene Name
256129_at	AT1G18210	Arabidopsis thaliana	Calcium-binding EF-hand family protein(AT1G18210)
259476_at	AT1G19000	Arabidopsis thaliana	Homeodomain-like superfamily protein(AT1G19000)
260759_at	AT1G49180	Arabidopsis thaliana	protein kinase family protein(AT1G49180)
258805_at	AT3G04010	Arabidopsis thaliana	O-Glycosyl hydrolases family 17 protein(AT3G04010)
252319_at	AT3G48710	Arabidopsis thaliana	DEK domain-containing chromatin associated protein(AT3G48710)
255666_at	AT4G00390	Arabidopsis thaliana	DNA-binding storekeeper protein-related transcriptional regulator(AT4G00390)
259816_at	AT1G49850	Arabidopsis thaliana	RING/U-box superfamily protein(AT1G49850)
253293_at	AT4G33905	Arabidopsis thaliana	Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein(AT4G33905)
247935_at	AT5G56940	Arabidopsis thaliana	Ribosomal protein S16 family protein(AT5G56940)
257119_at	AT3G20190	Arabidopsis thaliana	Leucine-rich repeat protein kinase family protein(PRK4)
245480_at	AT4G16150	Arabidopsis thaliana	calmodulin-binding transcription activator 5(AT4G16150)
253886_at	AT4G27710	Arabidopsis thaliana	cytochrome P450, family 709, subfamily B, polypeptide 3(CYP709B3)
251189_at	AT3G62650	Arabidopsis thaliana	hypothetical protein(AT3G62650)
250937_at	AT5G03230	Arabidopsis thaliana	senescence regulator (Protein of unknown function, DUF584)(AT5G03230)
257443_at	AT2G22050	Arabidopsis thaliana	Galactose oxidase/kelch repeat superfamily protein(AT2G22050)
255339_at	AT4G04480	Arabidopsis thaliana	F-box protein with a domain protein(AT4G04480)
256456_at	AT1G75180	Arabidopsis thaliana	Erythronate-4-phosphate dehydrogenase family protein(AT1G75180)
261152_at	AT1G04930	Arabidopsis thaliana	hydroxyproline-rich glycoprotein family protein(AT1G04930)
259828_at	AT1G72220	Arabidopsis thaliana	RING/U-box superfamily protein(AT1G72220)
247865_at	AT5G57815	Arabidopsis thaliana	Cytochrome c oxidase, subunit Vib family protein(AT5G57815)
254341_at	AT4G22130	Arabidopsis thaliana	STRUBBELIG-receptor family 8(SRF8)
266570_at	AT2G24090	Arabidopsis thaliana	Ribosomal protein L35(PRPL35)
248864_at	AT5G46760	Arabidopsis thaliana	Basic helix-loop-helix (bHLH) DNA-binding family protein(MYC3)
247095_at	AT5G66400	Arabidopsis thaliana	Dehydrin family protein(RAB18)
258698_at	AT3G09690	Arabidopsis thaliana	alpha/beta-Hydrolases superfamily protein(AT3G09690)
261537_at	AT1G01800	Arabidopsis thaliana	NAD(P)-binding Rossmann-fold superfamily protein(AT1G01800)
253281_at	AT4G34138	Arabidopsis thaliana	UDP-glucosyl transferase 73B1(UGT73B1)
