GeneID	RF01	RF02	RF03	RF04	RF05	RF06	RF07	RF08	RF09	RF10	RF11	RF12
AT5G44850	0	0	0	0	0	0	0	0	0	0	0	0
AT5G44860	497	481	511	456	489	460	548	568	510	626	620	672
AT5G44870	831	775	811	500	443	529	629	632	568	155	188	162
AT5G44880	0	0	0	0	0	0	0	0	0	0	0	0
AT5G44894	0	0	0	0	0	0	0	0	0	0	0	0
AT5G44900	17	9	15	17	23	19	22	11	11	52	54	39
AT5G44910	106	120	97	87	60	84	391	333	316	167	145	126
AT5G44920	372.607	331.767	427.359	257.029	255.1	333.522	338.73	336.973	308.855	284.471	259.054	274.701
AT5G44925	1	0	2	3	0	0	0	0	0	0	2	2
AT5G44930	207.393	195.233	201.641	330.971	312.9	334.478	130.27	162.027	154.145	329.528	281.947	335.298
AT5G44940	3	4	2	1	1	2	0	0	0	0	1	0
AT5G44950	0	0	0	0	0	0	0	0	0	0	0	4
AT5G44960	0	0	0	0	0	0	0	0	0	0	0	0
AT5G44970	0	0	0	0	0	0	0	0	0	0	0	0
AT5G44973	1	1	2	4	0	4	0	0	0	0	0	0
AT5G44980	25	35	28	42	64	65	41	49	26	45	51	35
AT5G44990	0	0	2	11	8	28	30	6	17	6	7	5
AT5G45000	10	11	2	21	29	58	49	26	28	20	21	12
AT5G45010	481	542	431	1046	951	1072	501	486	479	1080	1085	1120
AT5G45020	130	154	156	196	172	189	110	128	58	178	179	153
AT5G45030	297.589	300.936	331.37	498.719	548.089	681.95	380.477	358.16	277.147	549.447	471.898	463.752
AT5G45040	261.411	359.064	248.63	297.281	285.911	220.05	108.523	144.84	109.853	99.553	90.102	98.248
AT5G45050	893	897	1158	770	755	866	757	824	701	705	658	663
AT5G45060	1056	1134	1249	758	685	725	954	957	735	678	552	494
AT5G45070	14	8	13	290	477	438	9	10	3	45	67	48
AT5G45080	1	5	2	55	92	113	2	0	0	6	4	5
AT5G45082	0	0	0	0	1	0	0	0	0	0	0	0
AT5G45085	0	0	0	0	0	0	0	0	0	0	0	0
AT5G45090	0	0	0	5	5	14	6	4	11	1	6	1
AT5G45095	7	5	17	30	26	32	12	9	18	95	78	65
AT5G45100	350	352	345	778	754	1019	631	559	612	1132	1057	1111
AT5G45105	0	0	0	2	6	0	0	0	0	0	0	0
AT5G45110	396	390	425	819	732	1265	820	646	617	581	449	554
AT5G45113	0	0	0	0	0	0	0	0	0	0	0	4
AT5G45116	0	0	0	0	0	0	0	1	0	0	0	1
AT5G45120	0	0	0	0	0	0	0	0	0	7	0	6
AT5G45130	1377	1309	1277	1811	1554	1931	2029	2006	1831	2064	1820	1826
AT5G45140	585	672	840	903	774	844	451	439	325	1064	933	1010
AT5G45150	25	20	25	46	44	39	17	25	14	59	55	38
AT5G45160	529	538	627	594	556	580	503	557	498	714	640	678
AT5G45170	868	974	785	769	652	711	766	724	670	560	520	476
AT5G45180	0	0	0	4	2	23	0	1	0	0	0	0
AT5G45190	1046	1024	1230	1049	1008	983	1071	1175	983	947	870	831
AT5G45200	112	65	144	43	65	68	21	30	19	62	36	79
AT5G45210	133	128	207	107	113	132	45	34	26	152	123	151
AT5G45220	97	93	105	11	16	15	95	65	58	23	19	18
AT5G45230	0	0	0	0	0	0	0	0	0	0	1	0
AT5G45240	3	0	1	3	3	5	0	0	0	5	0	0
AT5G45250	779	752	802	569	690	710	763	594	490	507	423	395
AT5G45260	417	406	552	470	425	534	385	431	364	478	463	413
AT5G45275	98	101	132	213	193	219	47	51	31	287	226	202
AT5G45276	1	0	1	7	10	4	0	2	1	3	4	2
AT5G45280	727	500	974	873	907	999	2827	2749	2530	9580	6702	6792
AT5G45290	523	560	708	657	677	639	376	344	302	815	764	669
AT5G45300	322	345	352	364	378	385	237	283	271	396	408	350
AT5G45307	0	0	0	0	0	0	0	0	0	0	0	0
AT5G45310	185	168	221	60	54	55	131	124	100	156	87	166
AT5G45320	1	1	4	8	2	7	1	3	1	6	6	1
AT5G45330	160	165	187	194	227	160	135	142	114	309	277	333
AT5G45340	171	148	213	198	221	179	152	149	179	289	294	302
AT5G45350	797	904	826	1694	1661	1918	644	725	814	1393	1378	1580
AT5G45360	985	977	1005	995	911	1038	1064	1018	946	1066	923	873
AT5G45370	78	77	96	144	119	134	84	51	49	127	79	109
AT5G45380	768	832	932	634	755	1215	1671	1307	1130	401	306	237
AT5G45390	2862	3491	2789	3886	3698	3129	2439	2514	2267	2774	2876	2790
AT5G45400	130	109	139	137	151	127	80	100	77	206	206	211
AT5G45410	1169	1263.999	1256	910	1004	1143	2332.999	2241.001	2252.999	1539	1132	1069
AT5G45420	676	726	773	854	851	836	689	713	660	1379	1293	1242
AT5G45428	1216.876	2567.463	3838.341	1091.292	723.243	2087.868	4583.374	2506.163	2546.125	2820.953	1481.869	2125.917
AT5G45430	2983.124	2199.537	1347.658	1798.708	1987.756	1201.132	1162.627	3189.837	2468.875	949.047	1720.131	1138.083
AT5G45440	50	49	42	71	53	67	18	17	18	80	59	89
AT5G45450	0	1	0	0	0	0	0	0	0	3	0	0
AT5G45460	138	151	142	116	104	84	137	110	116	196	160	173
AT5G45469	15	8	7	4	6	4	2	5	5	4	0	0
AT5G45470	847.246	936.666	1044.826	995.098	992.78	1235.164	941.532	805.599	651.631	1343.578	1227.196	987.478
AT5G45472	261.754	112.334	322.174	221.902	162.22	137.836	246.468	141.401	165.369	141.422	173.804	136.522
AT5G45475	212.964	297.092	276.461	254.718	251.96	278.17	364.327	333.77	241.091	190.734	266.636	173.781
AT5G45480	1163.036	1123.908	1318.539	813.282	945.04	931.83	1049.673	999.23	828.909	1038.266	950.148	785.219
AT5G45490	2236	1969	2102	1551	1492	1478	1668	1492	1088	1164	1213.217	1124
AT5G45500	1608	1565	2119	1609	1546	1913	2290	1827	1688	2005	1809	1601
AT5G45510	4448	4258	6518	3780	3776	4844	7202	5812	5149	6631	5284	4846
AT5G45520	10	4	10	8	9	12	1	10	4	11	9	11
AT5G45530	1	4	6	16	23	21	5	3	3	14	17	14
AT5G45540	7	5	6	13	9	11	1	4	3	7	10	12
AT5G45550	634	700	752	1116	1023	1224	992	841	801	1690	1484	1577
AT5G45560	154	165	237	256	243	268	94	101	72	269	234	268
AT5G45570	2	7	7	5	0	8	1	3	1	3	2	2
AT5G45573	0	0	0	0	0	0	0	0	0	0	0	0
AT5G45576	0	0	0	0	0	0	0	0	0	0	0	0
AT5G45580	45	55	63	63	53	58	21	12	9	275	215	178
AT5G45590	126	124	122	236	241	191	71	69	64	366	326	340
AT5G45595	0	0	0	0	0	0	0	0	0	0	0	0
AT5G45600	280	298	354	510	500	459	261	249	217	638	507	557
AT5G45605	0	3	0	0	0	1	0	0	0	0	0	0
AT5G45610	264	225	256	315	290	266	233	228	194	259	215	222
AT5G45620	1012	936	1085	1305	1215	1307	831	864	758	1655	1550	1654
AT5G45630	1	2	4	9	9	19	18	33	38	41	30	50
AT5G45640	0	0	0	0	0	0	0	0	0	0	0	0
AT5G45650	452	472	487	891	931	814	188	140	131	801	944	705
AT5G45660	291	250	225	173	160	172	220	305	244	231	221	204
AT5G45670	373	594	434	1119	1079	1010	138	153	129	1068	1290	1157
AT5G45680	1303	1751	1280	1023	981	583	932	1120	942	403	394	386
AT5G45690	2	2	0	29	12	79	3	1	0	2710	1416	2725
AT5G45700	35	57	68	134	180	131	8	30	19	178	211	226
AT5G45710	260	286	300	274	271	342	433	353	393	356	363	357
AT5G45720	196	176	328	153	213	181	196	207	146	416	380	442
AT5G45730	37	48	86	23	42	45	16	30	13	34	43	33
AT5G45740	9	10	7	18	10	13	0	7	5	8	3	4
AT5G45750	398	376	439	704	800	680	527	522	562	1006	1018	1077
AT5G45760	168	170	192	275	235	277	105	158	122	195	125	175
AT5G45770	18	22	24	21	19	13	5	9	6	12	24	24
AT5G45775	2649	2800	2889	3993	3860	3710	1488	1306	1183	4745	4758	4759
AT5G45780	187	157	240	272	238	191	176	144	112	306	288	239
AT5G45790	56	72	68	75	75	74	51	67	60	89	68	72
AT5G45800	593	612	722	702	817	874	553	609	519	1034	883	1001
AT5G45810	26	25	28	22	29	45	3	9	14	34	20	15
AT5G45820	259	317	272	275	245	177	528	666	619	39	51	37
AT5G45830	49	22	45	85	73	58	36	40	42	108	65	80
AT5G45840	78	81	133	108	73	122	204	190	188	256	174	172
AT5G45850	7	1	0	32	36	34	4	0	1	50	53	28
AT5G45860	0	0	4	0	1	0	0	1	1	141	54	102
AT5G45870	3	0	0	0	0	0	0	0	0	4	2	3
AT5G45875	0	0	0	0	0	0	0	0	0	0	0	0
AT5G45880	1	0	2	2	1	3	24	4	8	9	6	4
AT5G45890	0	0	0	0	0	0	4	4	1	0	0	0
AT5G45900	247	227	342	346	322	422	397	408	380	407	388	451
AT5G45905	0	0	0	0	0	0	0	0	0	0	0	0
AT5G45910	0	1	0	4	1	1	0	0	0	0	0	0
AT5G45920	84	84	135	226	201	223	49	87	44	499	376	430
AT5G45930	1088	1143	1085	1199	1093	825	542	570	547	658	742	621
AT5G45940	146	200	166	253	188	222	193	223	198	379	352	359
AT5G45950	283	385	347	536	498	440	60	66	43	995	1022	772
AT5G45960	13	17	17	30	28	30	0	16	15	33	27	18
AT5G45970	10	12	4	29	10	39	1	0	0	26	26	29
AT5G45973	0	0	0	0	0	0	0	0	0	0	0	0
AT5G45980	0	0	0	0	0	0	0	2	0	0	0	0
AT5G45990	6	13	6	19	25	27	11	7	14	4	8	8
AT5G46000	0	0	0	0	0	0	0	0	0	0	0	0
AT5G46010	0	0	0	0	0	0	0	0	0	0	0	0
AT5G46013	0	0	0	0	1	0	0	0	0	1	0	0
AT5G46020	3856	4027	3844	4229	3861	3733	3750	3991	3351	3905	3527	3660
AT5G46025	0	0	0	0	0	0	0	0	0	0	0	0
AT5G46030	706	710	806	1255	1023	1247	663	720	727	1038	942	940
AT5G46040	25	30	42	1	8	4	278	230	217	42	22	24
AT5G46050	254	235	283	103	100	140	1489	1300	1159	194	208	164
AT5G46060	33	25	36	28	28	28	190	169	163	43	21	24
AT5G46070	1580	1480	1870	1663	1636	1675	1413	1444	1263	1915	1771	1864
AT5G46080	61	53	87	126	102	187	110	104	124	100	109	127
AT5G46090	44	43	74	46	62	61	43	34	16	42	54	58
AT5G46100	78	81	103	74	78	81	27	43	34	73	113	83
AT5G46110	14975	16742	14866	17583	16528	14897.999	10632.999	10529.999	8585.999	7121	7120	5642
AT5G46115	6	7	2	7	16	10	6	1	1	9	12	13
AT5G46120	0	0	0	0	0	0	0	0	0	0	0	0
AT5G46130	1	0	0	4	2	6	4	0	4	11	8	10
AT5G46140	0	1	0	2	6	4	0	3	0	20	21	22
AT5G46150	648	699	828	675	628	700	831	819	699	714	593	609
