From	Entrez	Species	Description
AT2G42395	2745592	Arabidopsis thaliana	hypothetical protein(AT2G42395)
AT3G04340	819589	Arabidopsis thaliana	FtsH extracellular protease family(emb2458)
AT5G19360	832056	Arabidopsis thaliana	calcium-dependent protein kinase 34(CPK34)
AT5G20350	832157	Arabidopsis thaliana	Ankyrin repeat family protein with DHHC zinc finger domain-containing protein(TIP1)
AT3G43920	823508	Arabidopsis thaliana	dicer-like 3(DCL3)
AT4G21450	826300	Arabidopsis thaliana	PapD-like superfamily protein(AT4G21450)
AT3G16320	820879	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(CDC27a)
AT1G33900	840287	Arabidopsis thaliana	P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT1G33900)
AT3G18980	821431	Arabidopsis thaliana	EIN2 targeting protein1(ETP1)
AT5G34990	3771229	Arabidopsis thaliana	hypothetical protein(AT5G34990)
AT1G06310	837141	Arabidopsis thaliana	acyl-CoA oxidase 6(ACX6)
AT1G08970	837417	Arabidopsis thaliana	nuclear factor Y, subunit C9(NF-YC9)
AT1G21930	838795	Arabidopsis thaliana	transmembrane protein(AT1G21930)
AT3G31945	3769216	Arabidopsis thaliana	hypothetical protein(AT3G31945)
AT5G19370	832057	Arabidopsis thaliana	rhodanese-like domain-containing protein / PPIC-type PPIASE domain-containing protein(AT5G19370)
AT3G31940	822936	Arabidopsis thaliana	hypothetical protein(AT3G31940)
AT4G33430	829480	Arabidopsis thaliana	BRI1-associated receptor kinase(BAK1)
AT1G79290	3767725	Arabidopsis thaliana	tRNA(AT1G79290)
AT5G46970	834743	Arabidopsis thaliana	Plant invertase/pectin methylesterase inhibitor superfamily protein(AT5G46970)
AT1G80280	844368	Arabidopsis thaliana	alpha/beta-Hydrolases superfamily protein(AT1G80280)
AT5G44310	834454	Arabidopsis thaliana	Late embryogenesis abundant protein (LEA) family protein(AT5G44310)
AT4G21460	827418	Arabidopsis thaliana	Ribosomal protein S24/S35(AT4G21460)
AT5G58950	836012	Arabidopsis thaliana	Protein kinase superfamily protein(AT5G58950)
AT5G44316	834456	Arabidopsis thaliana	Stabilizer of iron transporter SufD superfamily protein(ABCI9)
AT5G44313	834455	Arabidopsis thaliana	hypothetical protein(AT5G44313)
AT4G33440	829481	Arabidopsis thaliana	Pectin lyase-like superfamily protein(AT4G33440)
AT5G46980	834744	Arabidopsis thaliana	Plant invertase/pectin methylesterase inhibitor superfamily protein(AT5G46980)
AT1G80270	844367	Arabidopsis thaliana	PENTATRICOPEPTIDE REPEAT 596(PPR596)
AT5G44320	834457	Arabidopsis thaliana	Eukaryotic translation initiation factor 3 subunit 7 (eIF-3)(AT5G44320)
AT4G21470	828232	Arabidopsis thaliana	riboflavin kinase/FMN hydrolase(FMN/FHY)
AT5G58960	836013	Arabidopsis thaliana	glucose-6-phosphate isomerase, putative (DUF641)(GIL1)
AT5G56300	835729	Arabidopsis thaliana	gibberellic acid methyltransferase 2(GAMT2)
AT4G33450	829482	Arabidopsis thaliana	myb domain protein 69(MYB69)
AT4G21480	828233	Arabidopsis thaliana	sugar transporter protein 12(STP12)
AT5G44330	834458	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(AT5G44330)
AT5G46990	834745	Arabidopsis thaliana	Plant invertase/pectin methylesterase inhibitor superfamily protein(AT5G46990)
AT5G58970	836014	Arabidopsis thaliana	uncoupling protein 2(UCP2)
AT5G56310	835730	Arabidopsis thaliana	Pentatricopeptide repeat (PPR) superfamily protein(AT5G56310)
AT4G33465	3770579	Arabidopsis thaliana	SCR-like 22(SCRL22)
AT4G33467	5008180	Arabidopsis thaliana	hypothetical protein(AT4G33467)
AT4G33460	829483	Arabidopsis thaliana	ABC transporter family protein(ABCI10)
AT4G21490	828234	Arabidopsis thaliana	NAD(P)H dehydrogenase B3(NDB3)
AT5G44340	834459	Arabidopsis thaliana	tubulin beta chain 4(TUB4)
AT1G80290	844369	Arabidopsis thaliana	Nucleotide-diphospho-sugar transferases superfamily protein(AT1G80290)
AT5G44345	834460	Arabidopsis thaliana	F-box associated ubiquitination effector family protein(AT5G44345)
AT5G56325	835732	Arabidopsis thaliana	FBD-like domain family protein(AT5G56325)
AT4G33470	829484	Arabidopsis thaliana	histone deacetylase 14(HDA14)
AT5G56320	835731	Arabidopsis thaliana	expansin A14(EXPA14)
AT5G58980	836015	Arabidopsis thaliana	Neutral/alkaline non-lysosomal ceramidase(AT5G58980)
AT1G55280	841973	Arabidopsis thaliana	Lipase/lipooxygenase, PLAT/LH2 family protein(AT1G55280)
AT5G44350	834461	Arabidopsis thaliana	ethylene-responsive nuclear protein-like protein(AT5G44350)
AT1G80240	844364	Arabidopsis thaliana	choice-of-anchor C domain protein, putative (Protein of unknown function, DUF642)(DGR1)
AT1G67265	5007837	Arabidopsis thaliana	ROTUNDIFOLIA like 21(RTFL21)
AT1G67260	3767658	Arabidopsis thaliana	TCP family transcription factor(TCP1)
AT5G58990	836016	Arabidopsis thaliana	28S ribosomal S34 protein(AT5G58990)
AT4G33480	829485	Arabidopsis thaliana	BTB/POZ domain protein TNFAIP protein(AT4G33480)
AT5G56330	835733	Arabidopsis thaliana	alpha carbonic anhydrase 8(ACA8)
AT1G79245	3767724	Arabidopsis thaliana	miscRNA(AT1G79245)
AT1G80245	844365	Arabidopsis thaliana	Spc97 / Spc98 family of spindle pole body (SBP) component(AT1G80245)
AT1G55290	841974	Arabidopsis thaliana	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT1G55290)
AT5G44360	834462	Arabidopsis thaliana	FAD-binding Berberine family protein(AT5G44360)
AT1G80230	844363	Arabidopsis thaliana	Rubredoxin-like superfamily protein(AT1G80230)
AT3G06900	28718958	Arabidopsis thaliana	ncRNA(U4.2)
AT1G67270	843047	Arabidopsis thaliana	Zinc-finger domain of monoamine-oxidase A repressor R1 protein(AT1G67270)
AT4G33490	829486	Arabidopsis thaliana	Eukaryotic aspartyl protease family protein(AT4G33490)
AT5G56340	835734	Arabidopsis thaliana	RING/U-box superfamily protein(ATCRT1)
AT1G79250	844265	Arabidopsis thaliana	AGC kinase 1.7(AGC1.7)
AT4G33495	829487	Arabidopsis thaliana	Ubiquitin carboxyl-terminal hydrolase family protein(RPD1)
AT1G80260	844366	Arabidopsis thaliana	Spc97 / Spc98 family of spindle pole body (SBP) component(emb1427)
AT3G06910	819876	Arabidopsis thaliana	UB-like protease 1A(ULP1A)
AT5G44370	834463	Arabidopsis thaliana	phosphate transporter 4;6(PHT4;6)
AT1G67280	843048	Arabidopsis thaliana	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily protein(AT1G67280)
AT1G67290	843049	Arabidopsis thaliana	glyoxal oxidase-related protein(GLOX1)
AT5G56350	835735	Arabidopsis thaliana	Pyruvate kinase family protein(AT5G56350)
AT1G08900	837411	Arabidopsis thaliana	Major facilitator superfamily protein(AT1G08900)
AT1G79260	844266	Arabidopsis thaliana	nitrobindin heme-binding domain protein(AT1G79260)
AT1G79280	844268	Arabidopsis thaliana	nuclear pore anchor(NUA)
AT5G56369	3771520	Arabidopsis thaliana	Defensin-like (DEFL) family protein(AT5G56369)
AT3G06920	819877	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(AT3G06920)
AT5G44380	834464	Arabidopsis thaliana	FAD-binding Berberine family protein(AT5G44380)
AT5G56368	3771519	Arabidopsis thaliana	defensin-like protein(AT5G56368)
AT5G56367	3771518	Arabidopsis thaliana	hypothetical protein(AT5G56367)
AT3G18900	821423	Arabidopsis thaliana	ternary complex factor MIP1 leucine-zipper protein(AT3G18900)
AT5G56360	835736	Arabidopsis thaliana	calmodulin-binding protein(PSL4)
AT1G79270	844267	Arabidopsis thaliana	evolutionarily conserved C-terminal region 8(ECT8)
AT3G53360	824504	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(AT3G53360)
AT5G19510	832071	Arabidopsis thaliana	Translation elongation factor EF1B/ribosomal protein S6 family protein(AT5G19510)
AT1G55240	841967	Arabidopsis thaliana	proteinase inhibitor I4, serpin (DUF716)(AT1G55240)
AT1G31270	840015	Arabidopsis thaliana	hypothetical protein(AT1G31270)
AT3G53365	7922415	Arabidopsis thaliana	ncRNA(AT3G53365)
AT2G07811	28717847	Arabidopsis thaliana	miscRNA(AT2G07811)
AT1G67220	843042	Arabidopsis thaliana	histone acetyltransferase of the CBP family 2(HAC2)
AT2G07812	7922299	Arabidopsis thaliana	miscRNA(AT2G07812)
AT1G31274	7922521	Arabidopsis thaliana	miscRNA(AT1G31274)
AT2G07813	7922376	Arabidopsis thaliana	miscRNA(AT2G07813)
AT2G07815	6240292	Arabidopsis thaliana	LOW protein: cytochrome C biogenesis ccmF-like protein(AT2G07815)
AT1G43250	3767300	Arabidopsis thaliana	hypothetical protein(AT1G43250)
AT5G07520	830645	Arabidopsis thaliana	glycine-rich protein 18(GRP18)
AT1G69880	843324	Arabidopsis thaliana	thioredoxin H-type 8(TH8)
AT1G70870	843424	Arabidopsis thaliana	Polyketide cyclase/dehydrase and lipid transport superfamily protein(AT1G70870)
AT1G79200	844261	Arabidopsis thaliana	splicing regulatory glutamine/lysine-rich-like protein(SCI1)
AT1G80200	844360	Arabidopsis thaliana	transmembrane protein(AT1G80200)
AT5G20500	832172	Arabidopsis thaliana	Glutaredoxin family protein(AT5G20500)
AT1G67238	6241456	Arabidopsis thaliana	ncRNA(AT1G67238)
AT1G55250	841968	Arabidopsis thaliana	histone mono-ubiquitination 2(HUB2)
AT1G31260	840014	Arabidopsis thaliana	zinc transporter 10 precursor(ZIP10)
AT1G70885	3767686	Arabidopsis thaliana	miscRNA(AT1G70885)
AT5G19500	832070	Arabidopsis thaliana	Tryptophan/tyrosine permease(AT5G19500)
AT1G67230	843043	Arabidopsis thaliana	little nuclei1(LINC1)
AT3G53370	824505	Arabidopsis thaliana	S1FA-like DNA-binding protein(AT3G53370)
AT2G07806	7922444	Arabidopsis thaliana	hypothetical protein(AT2G07806)
AT2G07807	7922382	Arabidopsis thaliana	miscRNA(AT2G07807)
AT2G07808	7922400	Arabidopsis thaliana	miscRNA(AT2G07808)
AT2G07809	7922298	Arabidopsis thaliana	miscRNA(AT2G07809)
AT1G69890	843325	Arabidopsis thaliana	actin cross-linking protein (DUF569)(AT1G69890)
AT1G70880	843425	Arabidopsis thaliana	Polyketide cyclase/dehydrase and lipid transport superfamily protein(AT1G70880)
AT5G07530	830646	Arabidopsis thaliana	glycine rich protein 17(GRP17)
AT1G43240	3767299	Arabidopsis thaliana	hypothetical protein(AT1G43240)
AT1G79210	844262	Arabidopsis thaliana	N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein(AT1G79210)
AT1G43245	840925	Arabidopsis thaliana	SET domain-containing protein(AT1G43245)
AT3G53340	824502	Arabidopsis thaliana	nuclear factor Y, subunit B10(NF-YB10)
AT1G55260	841970	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT1G55260)
AT1G31250	840013	Arabidopsis thaliana	proline-rich family protein(AT1G31250)
AT2G07830	6241072	Arabidopsis thaliana	hypothetical protein(AT2G07830)
AT3G53342	6240232	Arabidopsis thaliana	hypothetical protein(AT3G53342)
AT1G80220	844362	Arabidopsis thaliana	hypothetical protein (DUF1644)(AT1G80220)
AT2G19810	816500	Arabidopsis thaliana	CCCH-type zinc finger family protein(OZF1)
AT1G55265	841971	Arabidopsis thaliana	DUF538 family protein, putative (Protein of unknown function, DUF538)(AT1G55265)
AT1G70895	843428	Arabidopsis thaliana	CLAVATA3/ESR-RELATED 17(CLE17)
AT2G07835	6240645	Arabidopsis thaliana	hypothetical protein(AT2G07835)
AT2G20800	816609	Arabidopsis thaliana	NAD(P)H dehydrogenase B4(NDB4)
AT1G67240	3767657	Arabidopsis thaliana	hypothetical protein(AT1G67240)
AT1G31258	5007746	Arabidopsis thaliana	ncRNA(AT1G31258)
AT2G20805	816610	Arabidopsis thaliana	DNA-binding storekeeper protein transcriptional regulator-like protein(AT2G20805)
AT1G18280	838408	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT1G18280)
AT1G43230	840923	Arabidopsis thaliana	hypothetical protein(AT1G43230)
AT1G70890	843427	Arabidopsis thaliana	MLP-like protein 43(MLP43)
AT5G07500	830642	Arabidopsis thaliana	Zinc finger C-x8-C-x5-C-x3-H type family protein(PEI1)
AT1G79220	844263	Arabidopsis thaliana	Mitochondrial transcription termination factor family protein(AT1G79220)
AT5G07505	3770644	Arabidopsis thaliana	hypothetical protein(AT5G07505)
AT2G19806	3768172	Arabidopsis thaliana	hypothetical protein(AT2G19806)
AT3G53350	824503	Arabidopsis thaliana	ROP interactive partner 4(RIP3)
AT1G55270	841972	Arabidopsis thaliana	Galactose oxidase/kelch repeat superfamily protein(AT1G55270)
AT2G19803	3768171	Arabidopsis thaliana	hypothetical protein(AT2G19803)
AT2G19802	3768170	Arabidopsis thaliana	transmembrane protein(AT2G19802)
AT1G31240	840012	Arabidopsis thaliana	Bromodomain transcription factor(AT1G31240)
AT2G07820	6241253	Arabidopsis thaliana	hypothetical protein(AT2G07820)
AT2G19800	816499	Arabidopsis thaliana	myo-inositol oxygenase 2(MIOX2)
AT2G07825	6240956	Arabidopsis thaliana	hypothetical protein(AT2G07825)
AT1G67250	843045	Arabidopsis thaliana	Proteasome maturation factor UMP1(AT1G67250)
AT2G07826	7922370	Arabidopsis thaliana	miscRNA(AT2G07826)
AT1G31245	3766868	Arabidopsis thaliana	miscRNA(AT1G31245)
AT2G07827	7922309	Arabidopsis thaliana	hypothetical protein(AT2G07827)
AT1G18290	838409	Arabidopsis thaliana	DUF4228 domain protein(AT1G18290)
AT1G80210	844361	Arabidopsis thaliana	Mov34/MPN/PAD-1 family protein(BRCC36A)
AT1G43220	3767298	Arabidopsis thaliana	hypothetical protein(AT1G43220)
AT5G44500	834477	Arabidopsis thaliana	Small nuclear ribonucleoprotein family protein(AT5G44500)
AT1G79230	844264	Arabidopsis thaliana	mercaptopyruvate sulfurtransferase 1(MST1)
AT5G07510	830644	Arabidopsis thaliana	glycine-rich protein 14(GRP14)
AT5G44510	834478	Arabidopsis thaliana	target of AVRB operation1(TAO1)
AT1G57860	842161	Arabidopsis thaliana	Translation protein SH3-like family protein(AT1G57860)
AT2G20820	816613	Arabidopsis thaliana	hypothetical protein(AT2G20820)
AT1G55200	841963	Arabidopsis thaliana	kinase with adenine nucleotide alpha hydrolases-like domain-containing protein(AT1G55200)
AT1G70830	843420	Arabidopsis thaliana	MLP-like protein 28(MLP28)
AT2G19830	816502	Arabidopsis thaliana	SNF7 family protein(SNF7.2)
AT2G20825	816614	Arabidopsis thaliana	Developmental regulator, ULTRAPETALA(ULT2)
AT1G55205	5007805	Arabidopsis thaliana	hypothetical protein(AT1G55205)
AT1G43290	3767303	Arabidopsis thaliana	hypothetical protein(AT1G43290)
AT1G55207	10723063	Arabidopsis thaliana	hypothetical protein(AT1G55207)
AT2G32810	817842	Arabidopsis thaliana	beta galactosidase 9(BGAL9)
AT1G69840	843320	Arabidopsis thaliana	SPFH/Band 7/PHB domain-containing membrane-associated protein family(AT1G69840)
AT2G20818	6240599	Arabidopsis thaliana	miscRNA(AT2G20818)
AT2G19825	3768443	Arabidopsis thaliana	hypothetical protein(AT2G19825)
AT5G44520	834479	Arabidopsis thaliana	NagB/RpiA/CoA transferase-like superfamily protein(AT5G44520)
AT2G32820	817843	Arabidopsis thaliana	Transcription elongation factor (TFIIS) family protein(AT2G32820)
AT2G44800	819089	Arabidopsis thaliana	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT2G44800)
AT1G57870	842162	Arabidopsis thaliana	shaggy-like kinase 42(SK42)
AT2G20810	816611	Arabidopsis thaliana	galacturonosyltransferase 10(GAUT10)
AT1G55210	841964	Arabidopsis thaliana	Disease resistance-responsive (dirigent-like protein) family protein(AT1G55210)
AT1G70840	843421	Arabidopsis thaliana	MLP-like protein 31(MLP31)
AT2G19820	816501	Arabidopsis thaliana	LOB domain-containing protein 9(LBD9)
AT4G08395	826397	Arabidopsis thaliana	hypothetical protein(AT4G08395)
AT2G20816	6240383	Arabidopsis thaliana	miscRNA(AT2G20816)
AT2G20815	816612	Arabidopsis thaliana	QWRF motif protein (DUF566)(QWRF3)
AT1G43280	3767302	Arabidopsis thaliana	hypothetical protein(AT1G43280)
AT5G56500	835751	Arabidopsis thaliana	TCP-1/cpn60 chaperonin family protein(Cpn60beta3)
AT1G69850	843321	Arabidopsis thaliana	nitrate transporter 1:2(NRT1:2)
AT1G31290	840017	Arabidopsis thaliana	ARGONAUTE 3(AGO3)
AT1G67200	3767656	Arabidopsis thaliana	miscRNA(AT1G67200)
AT5G44530	834480	Arabidopsis thaliana	Subtilase family protein(AT5G44530)
AT1G55220	841965	Arabidopsis thaliana	hypothetical protein(AT1G55220)
AT1G55221	7922489	Arabidopsis thaliana	miscRNA(AT1G55221)
AT1G70850	843422	Arabidopsis thaliana	MLP-like protein 34(MLP34)
AT2G19850	816504	Arabidopsis thaliana	transcription repressor(AT2G19850)
AT3G53380	824506	Arabidopsis thaliana	Concanavalin A-like lectin protein kinase family protein(AT3G53380)
AT4G08390	826396	Arabidopsis thaliana	stromal ascorbate peroxidase(SAPX)
AT1G43270	3767301	Arabidopsis thaliana	hypothetical protein(AT1G43270)
AT1G69860	843322	Arabidopsis thaliana	Major facilitator superfamily protein(AT1G69860)
AT2G20840	816617	Arabidopsis thaliana	Secretory carrier membrane protein (SCAMP) family protein(SCAMP3)
AT5G56510	835752	Arabidopsis thaliana	pumilio 12(PUM12)
AT2G05200	3768310	Arabidopsis thaliana	hypothetical protein(AT2G05200)
AT1G31280	840016	Arabidopsis thaliana	Argonaute family protein(AGO2)
AT5G44540	834481	Arabidopsis thaliana	Tapetum specific protein TAP35/TAP44(AT5G44540)
AT1G55230	841966	Arabidopsis thaliana	proteinase inhibitor I4, serpin (DUF716)(AT1G55230)
AT1G67210	843041	Arabidopsis thaliana	Proline-rich spliceosome-associated (PSP) family protein / zinc knuckle (CCHC-type) family protein(AT1G67210)
AT1G70860	3767685	Arabidopsis thaliana	Polyketide cyclase/dehydrase and lipid transport superfamily protein(AT1G70860)
AT2G19840	3768331	Arabidopsis thaliana	hypothetical protein(AT2G19840)
AT2G20835	816616	Arabidopsis thaliana	hypothetical protein(AT2G20835)
AT4G08375	3770165	Arabidopsis thaliana	hypothetical protein(AT4G08375)
AT3G53390	824507	Arabidopsis thaliana	Transducin/WD40 repeat-like superfamily protein(AT3G53390)
AT4G08380	826395	Arabidopsis thaliana	Proline-rich extensin-like family protein(AT4G08380)
AT5G56520	835753	Arabidopsis thaliana	hypothetical protein(AT5G56520)
AT1G43260	840927	Arabidopsis thaliana	hAT transposon superfamily protein(AT1G43260)
AT1G69870	843323	Arabidopsis thaliana	nitrate transporter 1.7(NRT1.7)
AT2G20830	816615	Arabidopsis thaliana	folic acid binding / transferase(AT2G20830)
AT2G32800	817841	Arabidopsis thaliana	protein kinase family protein(AP4.3A)
AT2G05210	815069	Arabidopsis thaliana	Nucleic acid-binding, OB-fold-like protein(AtPOT1a)
AT3G55940	824760	Arabidopsis thaliana	Phosphoinositide-specific phospholipase C family protein(AT3G55940)
AT3G31970	3769217	Arabidopsis thaliana	hypothetical protein(AT3G31970)
AT1G21866	5007713	Arabidopsis thaliana	Plant thionin family protein(AT1G21866)
AT2G32850	817846	Arabidopsis thaliana	Protein kinase superfamily protein(AT2G32850)
AT1G08890	837410	Arabidopsis thaliana	Major facilitator superfamily protein(AT1G08890)
AT3G04350	819590	Arabidopsis thaliana	vacuolar sorting-associated protein (DUF946)(AT3G04350)
AT5G20580	832180	Arabidopsis thaliana	TMEM192 family protein(AT5G20580)
AT3G28320	822460	Arabidopsis thaliana	transmembrane protein(AT3G28320)
AT1G18210	838401	Arabidopsis thaliana	Calcium-binding EF-hand family protein(AT1G18210)
AT1G33850	840281	Arabidopsis thaliana	Ribosomal protein S19 family protein(AT1G33850)
AT5G32566	3771059	Arabidopsis thaliana	hypothetical protein(AT5G32566)
AT1G57820	842157	Arabidopsis thaliana	Zinc finger (C3HC4-type RING finger) family protein(VIM1)
AT1G33855	3766906	Arabidopsis thaliana	hypothetical protein(AT1G33855)
AT2G17210	816226	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(AT2G17210)
AT2G19870	816506	Arabidopsis thaliana	tRNA/rRNA methyltransferase (SpoU) family protein(AT2G19870)
AT3G43955	3769615	Arabidopsis thaliana	hypothetical protein(AT3G43955)
AT5G32569	3771060	Arabidopsis thaliana	miscRNA(AT5G32569)
AT3G16330	820880	Arabidopsis thaliana	Avr9/Cf-9 rapidly elicited protein(AT3G16330)
AT3G43950	823511	Arabidopsis thaliana	Protein kinase superfamily protein(AT3G43950)
AT4G08370	826393	Arabidopsis thaliana	Proline-rich extensin-like family protein(AT4G08370)
AT2G20860	816619	Arabidopsis thaliana	lipoic acid synthase 1(LIP1)
AT5G32563	3771058	Arabidopsis thaliana	hypothetical protein(AT5G32563)
AT3G18990	821432	Arabidopsis thaliana	AP2/B3-like transcriptional factor family protein(VRN1)
AT1G21864	5007712	Arabidopsis thaliana	Plant thionin family protein(AT1G21864)
AT2G44830	819092	Arabidopsis thaliana	Protein kinase superfamily protein(AT2G44830)
AT1G06220	837131	Arabidopsis thaliana	Ribosomal protein S5/Elongation factor G/III/V family protein(MEE5)
AT2G05220	815070	Arabidopsis thaliana	Ribosomal S17 family protein(AT2G05220)
AT1G06225	837132	Arabidopsis thaliana	CLAVATA3/ESR-RELATED 3(CLE3)
AT1G69800	843316	Arabidopsis thaliana	Cystathionine beta-synthase (CBS) protein(AT1G69800)
AT1G21860	838788	Arabidopsis thaliana	SKU5 similar 7(sks7)
AT1G45832	3767367	Arabidopsis thaliana	hypothetical protein(AT1G45832)
AT3G31960	822940	Arabidopsis thaliana	miscRNA(AT3G31960)
AT3G55950	824761	Arabidopsis thaliana	CRINKLY4 related 3(CCR3)
AT2G07880	2745474	Arabidopsis thaliana	hypothetical protein(AT2G07880)
AT5G19580	832078	Arabidopsis thaliana	glyoxal oxidase-related protein(AT5G19580)
AT2G32860	817847	Arabidopsis thaliana	beta glucosidase 33(BGLU33)
AT1G69818	3767679	Arabidopsis thaliana	Defensin-like (DEFL) family protein(AT1G69818)
AT1G08880	837409	Arabidopsis thaliana	Histone superfamily protein(H2AXA)
AT3G28310	822458	Arabidopsis thaliana	hypothetical protein (DUF677)(AT3G28310)
AT3G04360	819591	Arabidopsis thaliana	Calcium-dependent lipid-binding (CaLB domain) family protein(AT3G04360)
AT5G20570	832179	Arabidopsis thaliana	RING-box 1(RBX1)
AT1G33840	840280	Arabidopsis thaliana	LURP-one-like protein (DUF567)(AT1G33840)
AT3G28315	3768971	Arabidopsis thaliana	hypothetical protein(AT3G28315)
AT1G18220	838402	Arabidopsis thaliana	purine permease 9(PUP9)
AT2G17200	816225	Arabidopsis thaliana	ubiquitin family protein(DSK2)
AT2G30200	817570	Arabidopsis thaliana	EMBRYO DEFECTIVE 3147(EMB3147)
AT1G57830	842158	Arabidopsis thaliana	Toll-Interleukin-Resistance (TIR) domain family protein(AT1G57830)
AT1G70800	843417	Arabidopsis thaliana	Calcium-dependent lipid-binding (CaLB domain) family protein(EHB1)
AT2G19860	816505	Arabidopsis thaliana	hexokinase 2(HXK2)
AT4G08350	826391	Arabidopsis thaliana	global transcription factor group A2(GTA2)
AT1G57835	7922391	Arabidopsis thaliana	ncRNA(AT1G57835)
AT3G43940	823510	Arabidopsis thaliana	hypothetical protein(AT3G43940)
AT4G08360	826392	Arabidopsis thaliana	KOW domain-containing protein(AT4G08360)
AT2G20850	816618	Arabidopsis thaliana	STRUBBELIG-receptor family 1(SRF1)
AT1G18230	3766749	Arabidopsis thaliana	miscRNA(AT1G18230)
AT3G16340	820881	Arabidopsis thaliana	pleiotropic drug resistance 1(ABCG29)
AT1G06210	837130	Arabidopsis thaliana	ENTH/VHS/GAT family protein(AT1G06210)
AT1G08870	3766685	Arabidopsis thaliana	tRNA(AT1G08870)
AT2G44840	819093	Arabidopsis thaliana	ethylene-responsive element binding factor 13(ERF13)
AT1G69810	843317	Arabidopsis thaliana	WRKY DNA-binding protein 36(WRKY36)
AT2G05230	815071	Arabidopsis thaliana	DNAJ heat shock N-terminal domain-containing protein(AT2G05230)
AT5G19590	832079	Arabidopsis thaliana	DUF538 family protein (Protein of unknown function, DUF538)(AT5G19590)
AT1G21870	838789	Arabidopsis thaliana	golgi nucleotide sugar transporter 5(GONST5)
AT3G31993	3769218	Arabidopsis thaliana	hypothetical protein(AT3G31993)
AT5G20560	832178	Arabidopsis thaliana	Glycosyl hydrolase superfamily protein(AT5G20560)
AT3G28340	822462	Arabidopsis thaliana	galacturonosyltransferase-like 10(GATL10)
AT1G69828	3767681	Arabidopsis thaliana	Defensin-like (DEFL) family protein(AT1G69828)
AT5G19570	832077	Arabidopsis thaliana	transmembrane protein(AT5G19570)
AT3G04370	819592	Arabidopsis thaliana	plasmodesmata-located protein 4(PDLP4)
AT3G28345	822463	Arabidopsis thaliana	ABC transporter family protein(ABCB15)
AT1G06250	837135	Arabidopsis thaliana	alpha/beta-Hydrolases superfamily protein(AT1G06250)
AT4G08347	3770282	Arabidopsis thaliana	miscRNA(AT4G08347)
AT3G31990	822943	Arabidopsis thaliana	hypothetical protein(AT3G31990)
AT2G32830	817844	Arabidopsis thaliana	phosphate transporter 1;5(PHT1;5)
AT1G57840	28717373	Arabidopsis thaliana	miscRNA(AT1G57840)
AT4G08345	3770281	Arabidopsis thaliana	tRNA(AT4G08345)
AT4G08340	826390	Arabidopsis thaliana	hypothetical protein(AT4G08340)
AT2G19893	3768542	Arabidopsis thaliana	Defensin-like (DEFL) family protein(AT2G19893)
AT2G17230	816228	Arabidopsis thaliana	EXORDIUM like 5(EXL5)
AT1G33830	840278	Arabidopsis thaliana	P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT1G33830)
AT1G70810	843418	Arabidopsis thaliana	Calcium-dependent lipid-binding (CaLB domain) family protein(AT1G70810)
AT3G43970	823514	Arabidopsis thaliana	hypothetical protein(AT3G43970)
AT1G33835	3766905	Arabidopsis thaliana	hypothetical protein(AT1G33835)
AT4G11990	826806	Arabidopsis thaliana	Cell cycle regulated microtubule associated protein(AT4G11990)
AT5G07580	830651	Arabidopsis thaliana	ethylene-responsive transcription factor(AT5G07580)
AT2G20880	816622	Arabidopsis thaliana	Integrase-type DNA-binding superfamily protein(ERF53)
AT3G16350	820882	Arabidopsis thaliana	Homeodomain-like superfamily protein(AT3G16350)
AT5G32540	3771057	Arabidopsis thaliana	hypothetical protein(AT5G32540)
AT2G44810	819090	Arabidopsis thaliana	alpha/beta-Hydrolases superfamily protein(DAD1)
AT1G21840	838786	Arabidopsis thaliana	urease accessory protein F(UREF)
AT1G69820	843318	Arabidopsis thaliana	gamma-glutamyl transpeptidase 3(GGT3)
AT2G32835	5007923	Arabidopsis thaliana	RALF-like 16(RALFL16)
AT3G55920	824758	Arabidopsis thaliana	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein(AT3G55920)
AT2G05240	3768621	Arabidopsis thaliana	hypothetical protein(AT2G05240)
AT2G29210	817470	Arabidopsis thaliana	splicing factor PWI domain-containing protein(AT2G29210)
AT1G69825	3767680	Arabidopsis thaliana	defensin-like protein(AT1G69825)
AT3G31996	3769219	Arabidopsis thaliana	hypothetical protein(AT3G31996)
AT2G05260	815074	Arabidopsis thaliana	alpha/beta-Hydrolases superfamily protein(AT2G05260)
