From	Entrez	Species	Description
AT1G61330	842427	Arabidopsis thaliana	FBD, F-box and Leucine Rich Repeat domains containing protein(AT1G61330)
AT2G38920	818477	Arabidopsis thaliana	SPX (SYG1/Pho81/XPR1) domain-containing protein / zinc finger (C3HC4-type RING finger) protein-like protein(AT2G38920)
AT3G51790	824342	Arabidopsis thaliana	transmembrane protein G1P-related 1(G1)
AT3G24150	822001	Arabidopsis thaliana	hypothetical protein(AT3G24150)
AT5G04900	830372	Arabidopsis thaliana	NYC1-like protein(NOL)
AT2G14930	3768116	Arabidopsis thaliana	hypothetical protein(AT2G14930)
AT1G63990	842702	Arabidopsis thaliana	sporulation 11-2(SPO11-2)
AT3G61113	6241165	Arabidopsis thaliana	Ubiquitin related modifier 1(AT3G61113)
AT3G61117	6240418	Arabidopsis thaliana	hypothetical protein(AT3G61117)
AT5G53910	835474	Arabidopsis thaliana	RING/U-box superfamily protein(AT5G53910)
AT3G61118	5008102	Arabidopsis thaliana	ncRNA(AT3G61118)
AT2G26910	817232	Arabidopsis thaliana	pleiotropic drug resistance 4(ABCG32)
AT3G12180	820395	Arabidopsis thaliana	Cornichon family protein(AT3G12180)
AT3G48115	5008073	Arabidopsis thaliana	ncRNA(AT3G48115)
AT3G61110	825283	Arabidopsis thaliana	ribosomal protein S27(RS27A)
AT1G73310	843665	Arabidopsis thaliana	serine carboxypeptidase-like 4(scpl4)
AT3G61111	6241410	Arabidopsis thaliana	Zinc-binding ribosomal protein family protein(AT3G61111)
AT2G02960	814825	Arabidopsis thaliana	RING/FYVE/PHD zinc finger superfamily protein(AT2G02960)
AT1G75970	3767708	Arabidopsis thaliana	tRNA(AT1G75970)
AT3G48110	823966	Arabidopsis thaliana	glycine-tRNA ligase(EDD1)
AT2G14935	3768117	Arabidopsis thaliana	low-molecular-weight cysteine-rich 40(LCR40)
AT3G24180	822004	Arabidopsis thaliana	Beta-glucosidase, GBA2 type family protein(AT3G24180)
AT2G12305	3768254	Arabidopsis thaliana	hypothetical protein(AT2G12305)
AT3G51760	824339	Arabidopsis thaliana	hypothetical protein (DUF688)(AT3G51760)
AT2G14960	815985	Arabidopsis thaliana	Auxin-responsive GH3 family protein(GH3.1)
AT2G12300	3768253	Arabidopsis thaliana	hypothetical protein(AT2G12300)
AT1G61340	842428	Arabidopsis thaliana	F-box family protein(FBS1)
AT1G73325	843667	Arabidopsis thaliana	Kunitz family trypsin and protease inhibitor protein(AT1G73325)
AT5G53920	835475	Arabidopsis thaliana	ribosomal protein L11 methyltransferase-like protein(AT5G53920)
AT3G12190	820396	Arabidopsis thaliana	golgin family A protein(AT3G12190)
AT5G65910	836720	Arabidopsis thaliana	BSD domain-containing protein(AT5G65910)
AT2G26940	817235	Arabidopsis thaliana	C2H2-type zinc finger family protein(AT2G26940)
AT2G02970	814826	Arabidopsis thaliana	GDA1/CD39 nucleoside phosphatase family protein(AT2G02970)
AT1G75980	843930	Arabidopsis thaliana	Single hybrid motif superfamily protein(AT1G75980)
AT1G73320	843666	Arabidopsis thaliana	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT1G73320)
AT5G41940	834199	Arabidopsis thaliana	Ypt/Rab-GAP domain of gyp1p superfamily protein(AT5G41940)
AT3G48140	823969	Arabidopsis thaliana	B12D protein(AT3G48140)
AT3G24190	822005	Arabidopsis thaliana	Protein kinase superfamily protein(AT3G24190)
AT3G24170	822003	Arabidopsis thaliana	glutathione-disulfide reductase(GR1)
AT2G14950	3768119	Arabidopsis thaliana	hypothetical protein(AT2G14950)
AT1G61350	842429	Arabidopsis thaliana	ARM repeat superfamily protein(AT1G61350)
AT2G38900	818474	Arabidopsis thaliana	Serine protease inhibitor, potato inhibitor I-type family protein(AT2G38900)
AT3G51770	824340	Arabidopsis thaliana	tetratricopeptide repeat (TPR)-containing protein(ETO1)
AT5G53930	835476	Arabidopsis thaliana	transcriptional regulator ATRX-like protein(AT5G53930)
AT1G73330	843668	Arabidopsis thaliana	drought-repressed 4(DR4)
AT5G65900	836719	Arabidopsis thaliana	DEA(D/H)-box RNA helicase family protein(AT5G65900)
AT1G75990	843931	Arabidopsis thaliana	PAM domain (PCI/PINT associated module) protein(AT1G75990)
AT2G26930	817234	Arabidopsis thaliana	4-(cytidine 5'-phospho)-2-C-methyl-D-erithritol kinase(CDPMEK)
AT2G02980	814827	Arabidopsis thaliana	Pentatricopeptide repeat (PPR) superfamily protein(OTP85)
AT2G38905	818475	Arabidopsis thaliana	Low temperature and salt responsive protein family(AT2G38905)
AT3G48131	6240744	Arabidopsis thaliana	transmembrane protein(AT3G48131)
AT5G41950	834200	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(AT5G41950)
AT3G48130	3769680	Arabidopsis thaliana	miscRNA(RSU1)
AT2G12325	3768255	Arabidopsis thaliana	hypothetical protein(AT2G12325)
AT1G36320	840539	Arabidopsis thaliana	hypothetical protein(AT1G36320)
AT1G12350	837789	Arabidopsis thaliana	4-phospho-panto-thenoylcysteine synthetase(COAB)
