gene	A_1	A_2	A_3
AT3G10595	0	0	0
AT3G10600	0	0	0.080327632
AT3G10605	0	0	0
AT3G10610	108.9075089	100.7404063	116.1386142
AT3G10620	30.79169351	32.76263087	32.22426831
AT3G10630	12.28896716	13.07812839	13.38355991
AT3G10640	23.64267704	20.73388857	19.56551617
AT3G10650	38.73925938	34.78828473	38.22637753
AT3G10660	4.069872793	2.486039601	2.295247664
AT3G10670	85.97801825	82.50171528	78.17745704
AT3G10680	2.690187949	2.501795575	1.432999561
AT3G10690	41.56475604	34.75426604	41.26634441
AT3G10700	12.04801465	12.27785515	13.44927508
AT3G10710	5.036789636	2.133965082	1.878625021
AT3G10720	30.42248201	31.95216787	45.24866934
AT3G10730	17.73626857	22.35736059	25.27454103
AT3G10740	59.52881135	55.53894406	36.23485328
AT3G10750	0.507859576	0.316073978	0.224149118
AT3G10760	25.03830717	24.78433282	26.68007313
AT3G10770	77.04955278	68.18167249	62.34547599
AT3G10780	0.609431491	1.053579928	0.224149118
AT3G10790	0	0	0
AT3G10800	28.43740145	24.51813908	22.25950673
AT3G10810	37.18468372	37.94300362	37.76505657
AT3G10815	6.178314497	5.554128864	2.272386254
AT3G10820	10.41985807	7.371785331	5.837081849
AT3G10840	7.70644526	8.295350958	8.824179104
AT3G10845	0	0	0
AT3G10850	114.5561778	126.29882	137.9990629
AT3G10860	259.1237403	224.7285987	206.0426721
AT3G10870	9.601486413	9.209749576	8.315948285
AT3G10880	1.313047849	0.721054327	1.107919943
AT3G10890	0	0	0
AT3G10900	0	0	0
AT3G10910	21.74994498	21.07463865	16.52619711
AT3G10915	22.78187134	22.60362464	17.98377437
AT3G10920	271.5169368	278.4529956	254.6679936
AT3G10930	3.051449226	2.637659609	2.431702223
AT3G10940	45.81206591	55.04365677	63.88842316
AT3G10950	0	0	0.571218719
AT3G10960	11.12524513	11.07300308	8.869658427
AT3G10970	67.90670068	64.42298972	69.37184291
AT3G10974	0	0	0
AT3G10980	17.2592656	16.68968867	19.45676766
AT3G10985	100.6245671	99.18769175	81.11978298
AT3G10986	1.05684339	0.548118533	0.194353686
AT3G10990	0	0	0
AT3G11000	0.871842636	0.783761712	0.513062447
AT3G11010	2.352510436	1.887701812	1.910089392
AT3G11020	6.19536661	6.522212851	4.897414267
AT3G11030	12.75971064	10.87835088	11.25040498
AT3G11040	3.084234068	2.837025017	3.146305845
AT3G11050	8.052140117	10.04883978	14.29887834
AT3G11060	0	0	0
AT3G11070	31.34759566	28.55069781	28.37676052
AT3G11080	0.833111719	0.40934171	0.628964874
AT3G11090	8.881132698	8.242472875	11.00289261
AT3G11100	22.55418993	21.19302155	16.88365824
AT3G11110	5.584226483	6.575131414	5.828579719
AT3G11120	313.664591	299.6381316	349.571848
AT3G11130	105.8835421	106.7290652	114.9277258
AT3G11150	1.068308161	1.218942103	0.353631707
AT3G11160	0	0.401659694	0
AT3G11165	0	0.443251674	0.235754471
AT3G11170	103.3655906	102.5568521	114.7403131
AT3G11180	0	0	0.085042701
AT3G11200	68.9687665	68.16960062	64.11673146
AT3G11210	14.11001685	19.42591794	13.30442462
AT3G11220	8.421663962	10.28170059	9.045770117
AT3G11230	15.06380047	17.0040044	12.54753757
AT3G11240	6.941661055	6.442472474	6.853179724
AT3G11250	74.21021361	70.27307411	89.37081059
AT3G11260	1.372958777	0.996894924	1.363431752
AT3G11270	30.90990256	31.96401534	30.76842714
AT3G11280	42.9918553	40.81060541	34.21232596
AT3G11290	16.30402609	17.252719	13.12971056
AT3G11300	0	0	0
AT3G11310	0	0	0
AT3G11320	12.60028469	11.94967623	13.8237208
AT3G11325	0	0	0
AT3G11330	44.65191107	41.1175354	32.60657515
AT3G11340	25.6309976	20.52434601	15.29215246
AT3G11350	0	0	0
AT3G11370	0.071929912	0	0.079367541
AT3G11380	0	0	0
AT3G11385	0.117474797	0	0.064810908
AT3G11390	0.064624279	0.067033139	0.142612996
AT3G11402	1.278702533	0.904340437	1.282656118
AT3G11397	31.82028014	32.87054752	34.09911635
AT3G11400	144.3370749	140.6527055	143.660537
AT3G11405	0	0	0.342731231
AT3G11410	345.6014885	390.1122007	377.4413369
AT3G11420	54.97937148	55.19316661	53.39266072
AT3G11430	45.85819612	60.52690257	33.62707477
AT3G11440	2.406299508	3.268563514	2.718330413
AT3G11450	83.15450512	78.25661759	75.11627796
AT3G11460	3.703468291	3.361325194	2.639140332
AT3G11470	6.861326401	7.83779839	7.091630591
AT3G11480	1.967782879	4.388433126	3.474005942
AT3G11490	19.87384438	20.1065316	24.01360321
AT3G11500	36.48713871	39.2424794	40.63100693
AT3G11510	480.8329129	474.9806321	553.2389933
AT3G11520	2.26770341	2.53317261	3.1758519
AT3G11530	14.89513413	16.76527121	14.16233882
AT3G11540	24.71521288	22.70332144	20.30113942
AT3G11550	10.01611374	4.968873538	4.164442802
AT3G11560	45.32024845	45.14106205	46.34740453
AT3G11570	1.971294933	1.808839114	0.836588045
AT3G11580	4.243584729	3.075931262	1.636010852
AT3G11590	21.92011705	20.83814344	19.5458952
AT3G11591	2.608311754	2.367344155	2.878013952
AT3G11600	16.29660842	11.3148157	9.715915846
AT3G11620	11.24885229	9.490096586	10.26058297
AT3G11630	418.690317	409.9640763	475.3996933
AT3G11640	0.883396106	0.916324561	0.4873701
AT3G11650	9.034006676	8.241742127	8.647054731
AT3G11660	36.7244591	41.09196022	29.88926295
AT3G11670	26.94201594	31.08359483	36.65921267
AT3G11680	0	0	0
AT3G11690	19.08091272	21.96344164	18.21117873
