"","gene","Control_1","Control_2","Control_3","A_1","A_2","A_3","wtavg","abaavg","log2FoldChange"
"88","AT1G01820",100.3726005,83.94058955,92.32014267,78.05455595,75.74054197,70.71886899,92.2111109066667,74.83798897,-0.301169806239148
"89","AT1G01830",8.610349228,6.906132662,6.803588319,13.9724254,14.1045377,14.35393458,7.440023403,14.14363256,0.926773635763102
"90","AT1G01840",3.055266945,3.011775582,4.982950219,2.811391987,1.822616372,2.520450479,3.68333091533333,2.38481961266667,-0.627130871535558
"91","AT1G01860",13.99871717,14.91720745,14.2011805,10.50604382,8.718124005,13.50764265,14.3723683733333,10.9106034916667,-0.397566915363316
"92","AT1G01880",2.150196429,2.130384504,2.14516166,2.552987421,2.846760861,3.028241702,2.14191419766667,2.80932999466667,0.391325410171814
"93","AT1G01900",4.274824737,7.247159097,5.819069855,14.84796723,18.33229075,18.70626272,5.78035122966667,17.2955069,1.58116823458291
"94","AT1G01910",62.85461749,65.97142375,71.56594073,54.98522917,55.88423737,53.50216886,66.7973273233333,54.7905451333333,-0.285863421455988
"95","AT1G01920",22.30998834,17.25595178,22.84184941,21.86936295,18.70368767,19.82883031,20.80259651,20.13396031,-0.0471326365182352
"96","AT1G01930",17.78082473,17.30290309,16.82381447,14.91787346,14.40430809,13.42622275,17.3025140966667,14.2494681,-0.280073612350248
"97","AT1G01940",37.04859548,39.37196633,37.53658357,31.95033192,35.53291412,31.619594,37.9857151266667,33.0342800133333,-0.201493080643233
"98","AT1G01950",15.04669048,13.38270913,14.87285795,11.50806954,10.95782149,13.98765838,14.4340858533333,12.1511831366667,-0.248382947958282
"99","AT1G01960",44.32726835,37.78109531,42.34666501,40.78901429,38.65717697,40.41021861,41.4850095566667,39.9521366233333,-0.05431745856871
"100","AT1G01970",32.67795602,32.99382073,29.71962317,23.81914869,22.77950708,28.98484037,31.7971333066667,25.1944987133333,-0.335787952403644
"101","AT1G01980",0,0.134815233,0.235442035,0,0,0,0.123419089333333,0,-Inf
"102","AT1G01990",44.45382502,46.2152618,47.26018598,38.08104381,35.2574875,33.31403035,45.9764242666667,35.5508538866667,-0.371010055442806
"103","AT1G02000",9.923032944,10.67103245,11.18883394,10.92948832,11.62389303,12.82287538,10.594299778,11.7920855766667,0.154530662350239
"104","AT1G02010",4.188439903,2.586473893,3.554385578,4.136122088,4.339048765,3.630296643,3.44309979133333,4.035155832,0.228916394284475
"105","AT1G02020",10.55589866,11.87363838,10.56428629,11.66747253,11.20811157,12.49339214,10.99794111,11.7896587466667,0.100288493289101
"106","AT1G02030",1.029274356,1.403688627,0.710553401,0.608860595,0.842074374,0.970402948,1.04783879466667,0.807112639,-0.376574849483073
"107","AT1G02040",0.133814441,0.111081775,0,0,0.127722989,0,0.081632072,0.0425743296666667,-0.939152261687819
"108","AT1G02050",12.02713769,10.99925969,11.03295644,10.78575019,9.92308098,8.382449241,11.35311794,9.69709347033333,-0.227464268224674
"109","AT1G02060",11.64005213,9.955423294,10.97717183,9.477549865,7.070113217,9.239879962,10.8575490846667,8.59584768133333,-0.336986651416059
"110","AT1G02065",1.093574124,1.39195319,1.69107089,0.872112598,1.252551409,2.072624539,1.39219940133333,1.399096182,0.00712928546394364
"111","AT1G02067",0,0,1.366695055,0,0,0,0.455565018333333,0,-Inf
"112","AT1G02070",0.397881722,0.660577554,1.15363613,0.549183511,0.379769495,0.605969668,0.737365135333333,0.511640891333333,-0.527247631609534
"113","AT1G02080",37.10178134,30.15153522,38.65465309,40.91923332,34.49227021,35.89940501,35.30265655,37.10363618,0.0717838273994308
"114","AT1G02090",34.41141285,41.7386109,39.17608847,34.68033521,33.33885804,36.86526347,38.4420374066667,34.9614855733333,-0.136918311453767
"115","AT1G02100",40.79978994,33.95944044,44.40092228,46.50110918,38.4204991,35.205782,39.7200508866667,40.0424634266667,0.0116632608672237
"116","AT1G02110",25.91200415,28.49233137,26.15797636,23.59400585,21.94842839,21.90132549,26.85410396,22.4812532433333,-0.256420121442854
"117","AT1G02120",64.50111677,55.56950939,59.17164224,52.55107983,53.04566656,51.47134893,59.7474228,52.3560317733333,-0.190520728830045
"118","AT1G02130",57.27077245,50.71093201,56.30783627,61.41751739,57.09321155,58.29209836,54.7631802433333,58.9342757666667,0.105900709430105
"119","AT1G02140",218.8531359,226.4967556,212.2110365,179.9250709,181.8375404,188.6941068,219.186976,183.4855727,-0.256495446740819
"120","AT1G02145",21.48699772,19.65064957,22.52668601,21.69880117,18.33632418,20.52212588,21.2214444333333,20.18575041,-0.0721856360001095
"121","AT1G02150",130.7110819,129.1796291,124.7200742,87.65373991,85.31889193,97.03935182,128.203595066667,90.0039945533333,-0.510375780765712
"122","AT1G02160",54.65259999,43.6479889,47.56369424,40.27980117,46.47852206,42.60386743,48.62142771,43.12073022,-0.173210647652258
"123","AT1G02170",32.56117583,32.41758169,34.71085194,40.21491826,39.54562522,34.15856446,33.22986982,37.97303598,0.192494707198843
