gene	Control_1	Control_2	Control_3
AT1G04985	27.66477988	25.4211847	26.73750166
AT1G04990	8.102681338	6.948534691	7.701653149
AT1G05000	16.2953697	10.07812223	12.0465548
AT1G05005	0	0	0
AT1G05010	700.8473148	802.586823	930.6576569
AT1G05020	4.993499487	5.543572404	7.384553542
AT1G05030	10.28207529	8.967504619	9.182694885
AT1G05035	2.162043241	1.435800799	1.25374505
AT1G05040	0	0	0
AT1G05055	19.36253904	20.56063148	21.65830836
AT1G05060	21.0506111	19.75377251	21.22959549
AT1G05065	3.721609161	3.998014359	3.808447308
AT1G05070	26.60949445	26.16497032	28.31996262
AT1G05080	0	0	0
AT1G05085	0	0	0
AT1G05087	6.478828264	5.989350098	7.257843064
AT1G05090	10.05649994	6.885015722	8.617219944
AT1G05100	0.81935151	0.582992942	1.357522605
AT1G05120	15.20348807	14.81746425	16.80018368
AT1G05136	0	0	0
AT1G05140	41.05540182	36.57664602	33.56707769
AT1G05150	29.31485297	26.71105909	25.3094754
AT1G05160	9.70004344	7.320164187	7.883450268
AT1G05170	10.38440922	8.896576135	10.808367
AT1G05180	41.32164027	40.90989684	41.9649104
AT1G05190	384.1220558	410.6089738	400.5482819
AT1G05200	19.750205	20.52819398	20.33135015
AT1G05205	38.159888	37.59028883	38.84780855
AT1G05210	14.0656356	14.72208605	13.00312724
AT1G05220	2.845936417	1.817279254	1.05790203
AT1G05230	10.90241176	11.44688017	10.94083713
AT1G05240	0.126686311	0.15774688	0.122439993
AT1G05250	117.9336624	50.91439131	43.00967354
AT1G05260	87.61964714	29.82120476	31.3326285
AT1G05270	32.59959313	28.18284211	26.11069726
AT1G05280	1.638601193	0.793468863	1.055785306
AT1G05290	0	0	0
AT1G05291	0	0	0
AT1G05300	8.576104856	10.58903089	12.18918799
AT1G05310	3.579698132	3.782000516	3.459712499
AT1G05320	16.2392766	15.35174879	14.76126793
AT1G05330	0.456291684	0.378775938	0.220498766
AT1G05340	11.70783315	8.2363415	20.71294604
AT1G05350	32.5744081	29.08397278	31.79977187
AT1G05360	11.33557251	7.251129504	7.797825524
AT1G05370	1.831555884	2.052550122	0.973590818
AT1G05380	31.8082331	28.73351356	30.84771596
AT1G05385	20.88138899	23.06305619	19.6683905
AT1G05400	2.206326054	2.223977593	2.893935614
AT1G05410	25.71429449	22.38354642	22.34989541
AT1G05420	2.716690488	4.134485042	4.230184021
AT1G05430	36.30467712	35.01229551	38.69978345
AT1G05440	1.93902828	2.012027834	1.967736982
AT1G05450	0.338650139	0	0.490948709
AT1G05460	11.04598248	11.134355	11.03458757
AT1G05470	7.874612314	7.559382557	7.31304428
AT1G05490	0.298348269	0.385255526	0.608734925
