"","gene","log2FoldChange"
"1828","AT1G20490",0.388256291314871
"1829","AT1G20510",-0.548118175024438
"1830","AT1G20520",-0.475010430341386
"1831","AT1G20530",-0.884580708482378
"1832","AT1G20540",0.2119652181834
"1833","AT1G20550",-0.0770209367865304
"1834","AT1G20560",0.6708431418282
"1835","AT1G20570",-0.0617338984980103
"1836","AT1G20575",0.0567898044448809
"1837","AT1G20580",-0.377794059531259
"1838","AT1G20610",0.346018336686954
"1839","AT1G20620",0.661178245046649
"1840","AT1G20630",0.984016137725729
"1841","AT1G20640",0.0108133052115422
"1842","AT1G20650",0.787418555007384
"1843","AT1G20670",0.0206573546421988
"1844","AT1G20690",-0.276281822379207
"1845","AT1G20693",0.894331054265138
"1846","AT1G20696",0.543618166782507
"1847","AT1G20700",-0.326171206520046
"1848","AT1G20720",-0.138524576689558
"1849","AT1G20760",0.0744064479775054
"1850","AT1G20770",-0.0262522738085453
"1851","AT1G20780",-0.498670416032147
"1852","AT1G20795",-2.46173027608885
"1853","AT1G20810",0.0432468965251484
"1854","AT1G20816",-0.258100593564645
"1855","AT1G20823",-0.0342131048349767
"1856","AT1G20830",0.06363292555317
"1857","AT1G20840",-0.156796972177862
"1858","AT1G20850",0.373147443837008
"1859","AT1G20860",0.166412828532281
"1860","AT1G20870",0.733719856506907
"1861","AT1G20880",0.358135644357587
"1862","AT1G20890",-0.0496286701104786
"1863","AT1G20900",-0.532633961741485
"1864","AT1G20910",-0.662965269004879
"1865","AT1G20920",0.0014836534708897
"1866","AT1G20930",-0.042038059519004
"1867","AT1G20950",-0.486363535816288
"1868","AT1G20960",-0.241542209494669
"1869","AT1G20970",0.340505463712625
"1870","AT1G20980",-0.141336550569801
"1871","AT1G20990",1.25412105673475
"1872","AT1G21000",0.597624658171882
"1873","AT1G21010",-0.139079730816406
"1874","AT1G21050",-1.37084702871565
"1875","AT1G21060",0.271454395004119
"1876","AT1G21065",0.269442025175131
"1877","AT1G21070",-0.171483384369969
"1878","AT1G21080",0.146580764727977
"1879","AT1G21090",0.0203787967883562
"1880","AT1G21100",-2.34085703789984
"1881","AT1G21110",-1.91099654625824
"1882","AT1G21120",-2.07153619155104
"1883","AT1G21130",-0.43958776861168
"1884","AT1G21140",-0.197710852687022
"1885","AT1G21150",-0.0566854889798473
"1886","AT1G21160",0.0935477585361461
"1887","AT1G21170",0.11059982290142
"1888","AT1G21190",-0.326848997904457
"1889","AT1G21200",0.0816534422182366
"1890","AT1G21210",-0.987818527919207
"1891","AT1G21240",0.88147214155773
"1892","AT1G21250",-0.0955971437939161
"1893","AT1G21270",-0.741844660930916
"1894","AT1G21310",0.165692582732643
"1895","AT1G21313",0.370206403889948
"1896","AT1G21320",-3.26148606131962
"1897","AT1G21326",-1.84607443451382
"1898","AT1G21340",-2.11384398271315
"1899","AT1G21350",-0.0206246878506066
"1900","AT1G21360",0.673256826401874
"1901","AT1G21370",0.133413882566368
"1902","AT1G21380",-0.048026264748105
"1903","AT1G21390",-0.35962046150421
"1904","AT1G21400",2.11781407527666
"1905","AT1G21410",2.27414811431059
"1906","AT1G21440",0.382306828226299
"1907","AT1G21450",0.157820204123679
"1908","AT1G21460",0.695258489001989
"1909","AT1G21470",-1.37159881726399
"1910","AT1G21480",0.152718891568221
"1911","AT1G21500",-0.0682906274500058
"1912","AT1G21510",0.252544097849021
"1913","AT1G21520",0.518573410521607
"1914","AT1G21528",-2.21996662421276
"1915","AT1G21530",-0.835653449941807
"1916","AT1G21540",-1.88717032714797
"1917","AT1G21550",-0.1326695544638
"1918","AT1G21560",0.0433952872373866
"1919","AT1G21580",0.0442147531652159
"1920","AT1G21590",0.472564598203213
"1921","AT1G21600",-0.540144909693032
"1922","AT1G21610",0.239208717661729
"1923","AT1G21620",-0.12001380966959
"1924","AT1G21630",0.130250192317402
"1925","AT1G21640",0.165735728824119
"1926","AT1G21650",-0.859061319114803
"1927","AT1G21651",0.223426477182069
"1928","AT1G21660",0.446446054190148
"1929","AT1G21670",0.707578885036275
"1930","AT1G21680",0.983666833877715
"1931","AT1G21690",-0.161642298205286
"1932","AT1G21695",0.686866153477309
"1933","AT1G21700",0.000959105506693554
"1934","AT1G21710",-0.258553226925904
"1935","AT1G21720",0.0069606330362474
"1936","AT1G21730",-0.184461422335746
"1937","AT1G21740",-0.647411844555561
"1938","AT1G21750",0.482420040105466
"1939","AT1G21760",0.238161936956627
"1940","AT1G21770",0.489015833873504
"1941","AT1G21780",0.857743333937067
"1942","AT1G21790",1.95610626185538
"1943","AT1G21810",-0.343191229833287
"1944","AT1G21830",-0.876722833302585
"1945","AT1G21840",-0.499583400942219
"1946","AT1G21880",-0.582464575692931
"1947","AT1G21890",2.76787618571365
"1948","AT1G21900",-0.0772276418920604
"1949","AT1G21910",-1.41942602804774
"1950","AT1G21920",0.0964335018257156
"1951","AT1G21930",0.141057107001356
"1952","AT1G21980",0.603220684842713
"1953","AT1G22020",-0.0249594972976461
"1954","AT1G22030",-0.97940074156346
"1955","AT1G22040",0.387126791203203
"1956","AT1G22050",-0.0625506700922669
"1957","AT1G22060",0.446841077320483
"1958","AT1G22065",1.34452339439346
"1959","AT1G22070",0.0360898494339985
"1960","AT1G22110",-0.385924690999913
"1961","AT1G22140",-0.0405533176847379
"1962","AT1G22150",1.59874973524293
"1963","AT1G22160",1.16472007516687
"1964","AT1G22170",0.470677168426433
"1965","AT1G22180",0.217460027078765
"1966","AT1G22190",0.131658268494616
"1967","AT1G22200",-0.194768887606783
"1968","AT1G22220",-1.13139668024528
"1969","AT1G22230",0.120079445301767
"1970","AT1G22240",2.25635374118275
"1971","AT1G22250",0.133654456641644
"1972","AT1G22260",0.795314593229283
"1973","AT1G22270",-0.614927835937228
"1974","AT1G22275",0.341289654346222
"1975","AT1G22280",-0.522420938199791
"1976","AT1G22300",0.0685506908319314
"1977","AT1G22310",-0.116625333288658
"1978","AT1G22330",-1.27934008063243
"1979","AT1G22340",0.313650650833322
"1980","AT1G22360",-0.96971705658237
"1981","AT1G22370",2.25473611451754
"1982","AT1G22380",0.981623146258798
"1983","AT1G22400",-0.428747218522933
"1984","AT1G22410",0.384127488018587
"1985","AT1G22430",-0.166649686004514
"1986","AT1G22440",0.523629500765931
"1987","AT1G22450",-0.186798766722156
"1988","AT1G22460",0.622111747374858
"1989","AT1G22470",1.94506511312294
"1990","AT1G22480",3.17529937718515
"1991","AT1G22490",1.88078926870229
"1992","AT1G22500",-1.24819283254006
"1993","AT1G22510",0.125279572363334
"1994","AT1G22520",-0.343658236903175
"1995","AT1G22530",-0.497085288721212
"1996","AT1G22540",0.147272687153248
"1997","AT1G22550",0.317159590603966
"1998","AT1G22570",-0.497219582567301
"1999","AT1G22590",-0.654444055404946
"2000","AT1G22600",2.91753981248434
"2001","AT1G22620",0.192731825315906
"2002","AT1G22610",-0.363478270939134
"2003","AT1G22630",0.016781422196756
"2004","AT1G22640",1.57339846950993
"2005","AT1G22650",-0.692021114103938
"2006","AT1G22660",-0.0617259070709916
"2007","AT1G22680",1.10423871356496
"2008","AT1G22690",-2.30107355904182
"2009","AT1G22700",-0.176984422763548
"2010","AT1G22710",0.527196626056279
"2011","AT1G22730",-0.240081421216623
"2012","AT1G22740",0.441666620482397
"2013","AT1G22750",0.0484365552829088
"2014","AT1G22760",-0.367945306257088
"2015","AT1G22770",0.166270690576908
"2016","AT1G22780",-0.755180600159947
"2017","AT1G22790",0.211666466633422
"2018","AT1G22800",0.165203609190616
"2019","AT1G22810",-0.83247916441265
"2020","AT1G22830",-0.428883646776406
"2021","AT1G22840",-0.202335736120663
"2022","AT1G22850",0.552964195340192
"2023","AT1G22860",0.129953877893814
"2024","AT1G22870",0.24239577917716
"2025","AT1G22880",-0.375549127295413
"2026","AT1G22882",0.195484886412793
"2027","AT1G22885",-0.137736929683204
"2028","AT1G22890",-0.424824141747962
"2029","AT1G22900",0.248798671100213
"2030","AT1G22910",-0.277235314001703
"2031","AT1G22920",-0.469000995737022
"2032","AT1G22930",1.24567719506538
"2033","AT1G22940",-0.0611241294612642
"2034","AT1G22950",-0.441289498718719
"2035","AT1G22960",-0.316254702768948
"2036","AT1G22970",-0.465589360159405
"2037","AT1G22980",-0.316955220423741
"2038","AT1G22985",0.950699071529734
"2039","AT1G22990",2.95649643376419
"2040","AT1G23000",0.0596004499805411
"2041","AT1G23010",0.606172492572716
"2042","AT1G23020",-0.165514783292237
"2043","AT1G23030",-0.323409815537942
"2044","AT1G23040",1.20675403015727
